time,downrange,altitude
299,1422.2972013036272,193.0
300,1422.2972013036272,193.0
301,1422.2972013036272,193.0
302,1422.2972013036272,193.0
303,1435.4844328994725,194.0
304,1435.4844328994725,194.0
305,1435.4844328994725,194.0
306,1448.8123859407128,195.0
307,1448.8123859407128,195.0
308,1448.8123859407128,195.0
309,1448.8123859407128,195.0
310,1462.3281120060483,196.0
311,1462.3281120060483,196.0
312,1462.3281120060483,196.0
313,1475.9910404384937,197.0
314,1475.9910404384937,197.0
315,1475.9910404384937,197.0
316,1475.9910404384937,197.0
317,1489.8513344182968,198.0
318,1489.8513344182968,198.0
319,1489.8513344182968,198.0
320,1489.8513344182968,198.0
321,1503.9128217856414,199.0
322,1503.9128217856414,199.0
323,1503.9128217856414,199.0
324,1503.9128217856414,199.0
325,1518.177997792707,200.0
326,1518.177997792707,200.0
327,1518.177997792707,200.0
328,1518.177997792707,200.0
329,1518.177997792707,200.0
330,1532.7094325058538,201.0
331,1532.7094325058538,201.0
332,1532.7094325058538,201.0
333,1532.7094325058538,201.0
334,1547.4560245003956,202.0
335,1547.4560245003956,202.0
336,1547.4560245003956,202.0
337,1547.4560245003956,202.0
338,1547.4560245003956,202.0
339,1562.4798230552296,203.0
340,1562.4798230552296,203.0
341,1562.4798230552296,203.0
342,1562.4798230552296,203.0
343,1562.4798230552296,203.0
344,1577.792754671394,204.0
345,1577.792754671394,204.0
346,1577.792754671394,204.0
347,1577.792754671394,204.0
348,1577.792754671394,204.0
349,1593.3998715846164,205.0
350,1593.3998715846164,205.0
351,1593.3998715846164,205.0
352,1593.3998715846164,205.0
353,1593.3998715846164,205.0
354,1609.3071454842843,206.0
355,1609.3071454842843,206.0
356,1609.3071454842843,206.0
357,1609.3071454842843,206.0
358,1609.3071454842843,206.0
359,1609.3071454842843,206.0
360,1625.5880943763163,207.0
361,1625.5880943763163,207.0
362,1625.5880943763163,207.0
363,1625.5880943763163,207.0
364,1625.5880943763163,207.0
365,1625.5880943763163,207.0
366,1642.260184634717,208.0
367,1642.260184634717,208.0
368,1642.260184634717,208.0
369,1642.260184634717,208.0
370,1642.260184634717,208.0
371,1642.260184634717,208.0
372,1642.260184634717,208.0
373,1659.4059302746782,209.0
374,1659.4059302746782,209.0
375,1659.4059302746782,209.0
376,1659.4059302746782,209.0
377,1659.4059302746782,209.0
378,1659.4059302746782,209.0
379,1659.4059302746782,209.0
380,1677.0423111026328,210.0
381,1677.0423111026328,210.0
382,1677.0423111026328,210.0
383,1677.0423111026328,210.0
384,1677.0423111026328,210.0
385,1677.0423111026328,210.0
386,1677.0423111026328,210.0
387,1677.0423111026328,210.0
388,1695.2688111310783,211.0
389,1695.2688111310783,211.0
390,1695.2688111310783,211.0
391,1714.2463600464503,212.0
392,1714.2463600464503,212.0
393,1714.2463600464503,212.0
394,1733.8324557696708,213.0
395,1733.8324557696708,213.0
396,1733.8324557696708,213.0
397,1733.8324557696708,213.0
398,1733.8324557696708,213.0
399,1733.8324557696708,213.0
400,1733.8324557696708,213.0
401,1733.8324557696708,213.0
402,1733.8324557696708,213.0
403,1733.8324557696708,213.0
404,1733.8324557696708,213.0
405,1754.3841658074628,214.0
406,1754.3841658074628,214.0
407,1754.3841658074628,214.0
408,1754.3841658074628,214.0
409,1754.3841658074628,214.0
410,1754.3841658074628,214.0
411,1754.3841658074628,214.0
412,1754.3841658074628,214.0
413,1754.3841658074628,214.0
414,1754.3841658074628,214.0
415,1754.3841658074628,214.0
416,1754.3841658074628,214.0
417,1754.3841658074628,214.0
418,1754.3841658074628,214.0
419,1754.3841658074628,214.0
420,1776.2294849504908,215.0
421,1776.2294849504908,215.0
422,1776.2294849504908,215.0
423,1776.2294849504908,215.0
424,1776.2294849504908,215.0
425,1776.2294849504908,215.0
426,1776.2294849504908,215.0
427,1776.2294849504908,215.0
428,1776.2294849504908,215.0
429,1776.2294849504908,215.0
430,1776.2294849504908,215.0
431,1776.2294849504908,215.0
432,1776.2294849504908,215.0
433,1776.2294849504908,215.0
434,1776.2294849504908,215.0
435,1776.2294849504908,215.0
436,1776.2294849504908,215.0
437,1776.2294849504908,215.0
438,1776.2294849504908,215.0
439,1776.2294849504908,215.0
440,1800.0783789225834,216.0
441,1800.0783789225834,216.0
442,1800.0783789225834,216.0
443,1800.0783789225834,216.0
444,1800.0783789225834,216.0
445,1800.0783789225834,216.0
446,1800.0783789225834,216.0
447,1800.0783789225834,216.0
448,1800.0783789225834,216.0
449,1800.0783789225834,216.0
450,1800.0783789225834,216.0
451,1800.0783789225834,216.0
452,1800.0783789225834,216.0
453,1800.0783789225834,216.0
454,1800.0783789225834,216.0
455,1800.0783789225834,216.0
456,1800.0783789225834,216.0
457,1800.0783789225834,216.0
458,1800.0783789225834,216.0
459,1800.0783789225834,216.0
460,1800.0783789225834,216.0
461,1800.0783789225834,216.0
462,1800.0783789225834,216.0
463,1800.0783789225834,216.0
464,1800.0783789225834,216.0
465,1800.0783789225834,216.0
466,1800.0783789225834,216.0
467,1800.0783789225834,216.0
468,1800.0783789225834,216.0
469,1800.0783789225834,216.0
470,1800.0783789225834,216.0
471,1800.0783789225834,216.0
472,1800.0783789225834,216.0
473,1800.0783789225834,216.0
474,1800.0783789225834,216.0
475,1800.0783789225834,216.0
476,1800.0783789225834,216.0
477,1800.0783789225834,216.0
478,1800.0783789225834,216.0
479,1800.0783789225834,216.0
480,1800.0783789225834,216.0
481,1800.0783789225834,216.0
482,1800.0783789225834,216.0
483,1800.0783789225834,216.0
