time,downrange,horizontal_velocity,vertical_velocity,altitude
0,0.0,0.0,0.5737054723178454,0.0
1,0.0,0.0,8.521164233365457,0.0
2,0.0,0.0,25.13893657816107,0.0
3,0.0,25.73249182900317,45.18671114686579,0.0
4,0.0,0.0,75.5066612336845,0.0
5,0.004487637339278751,44.876373392787514,99.33333333333334,0.2
6,0.004487637339278751,5.791998053526717,122.8635534182043,0.2
7,0.004487637339278751,0.0,137.48886936262258,0.2
8,0.004487637339278751,0.0,156.3564086017983,0.3
9,0.004487637339278751,39.16792931396129,175.6868615271402,0.3
10,0.0064460338049768156,0.0,195.23888933555463,0.4
11,0.0064460338049768156,0.0,211.35352819380682,0.4
12,0.0070455620882216114,11.990565664895925,227.68448856923877,0.5
13,0.007645090371466407,0.0,244.33333333333337,0.6
14,0.007645090371466407,0.0,261.0336657484931,0.6
15,0.007645090371466407,0.0,278.3333333333333,0.7
16,0.008301059256466785,13.119377700007513,295.7091170876619,0.8
17,0.00895702814146716,0.0,314.139187717353,0.9
18,0.00895702814146716,0.0,345.16080038039024,1.0
19,0.00895702814146716,0.0,390.34456024393495,1.3
20,0.02504682502104532,107.26531253052106,435.99902835640546,1.6
21,0.030410090647571365,0.0,489.89593664706297,1.7
22,0.07407108847629229,145.5366594290698,531.4321036239972,2.3
23,0.08862475441919927,0.0,580.5758008510451,2.5
24,0.10285685049099387,94.88064047863061,610.6731237432714,2.8
25,0.11336054864941726,10.156341105603264,640.9195337445619,3.0
26,0.11386836570469742,0.0,664.3502052681702,3.1
27,0.11386836570469742,0.0,688.3333625910141,3.3
28,0.11749892564352403,36.305599388266025,712.0750686922403,3.5
29,0.13045589906433575,93.26413481985098,730.0669840201683,3.7
30,0.157652037384998,178.69724838677212,740.7504933639912,3.9
31,0.25894543431192685,327.76973624787246,744.0000000000001,4.3
32,0.3659914614360364,385.8704445795245,745.0000000000001,4.6
33,0.5398131576684188,483.2380365823865,745.0000000000001,5.0
34,0.9597608816631714,566.6312734044952,745.0000000000001,5.8
35,1.0753710191059154,589.470101022944,745.0000000000001,6.0
36,1.255794251610531,613.3514490078261,745.0000000000001,6.3
37,1.3806444341008481,635.1503758953464,745.0000000000001,6.5
38,1.7117689074708256,689.3475175845633,745.0000000000001,7.0
39,1.9238041792220815,724.2209607571434,745.0000000000001,7.3
40,2.1470145462030272,763.8481524491631,745.0000000000001,7.6
41,2.303921656497203,805.2229504925949,745.0000000000001,7.8
42,2.5517506716031564,846.970483547095,745.0000000000001,8.1
43,2.8123633059431388,890.4470787194485,745.0000000000001,8.4
44,3.0858901744814156,933.0653782024065,745.0000000000001,8.7
45,3.3722794096064823,976.1961892980324,745.0000000000001,9.0
46,3.6713183396713003,1017.3966778007484,745.0000000000001,9.3
47,3.9828145934637957,1059.2450141492288,745.0000000000001,9.6
48,4.41477411398873,1100.552588475444,745.0000000000001,10.0
49,4.751242817017279,1142.572098381542,745.0000000000001,10.3
50,5.10042609379239,1185.316413452543,745.0000000000001,10.6
51,6.306898401040962,1227.6282010445996,745.0000000000001,11.6
52,5.9321476652240515,1270.710037734809,745.0000000000001,11.3
53,6.448513927942039,1311.1212758551362,745.0000000000001,11.7
54,6.848209211108574,1353.5139452550904,745.0000000000001,12.0
55,7.39848531791363,1397.8665887701873,745.0000000000001,12.4
56,7.824451782921528,1441.9098446158137,745.0000000000001,12.7
57,8.409967997599031,1485.6712287716957,745.0000000000001,13.1
58,9.634983474831781,1576.8674643101747,745.0000000000001,13.9
59,10.274776449229682,1622.0974076793293,745.0000000000001,14.3
60,10.933274723866814,1670.3939655063414,745.0000000000001,14.7
61,11.610827475224017,1717.3697912796765,745.0000000000001,15.1
62,12.30734709624895,1765.2283138449825,745.0000000000001,15.5
63,13.759311225956662,1864.6820104242975,745.0000000000001,16.3
64,14.704014055056987,1914.129305977002,745.0000000000001,16.8
65,16.276811464421336,2017.8642174338688,745.0000000000001,17.6
66,20.103538409018704,2234.054609896544,745.0000000000001,19.4
67,21.234515979569775,2289.855672307755,745.0000000000001,19.9
68,22.39388619340439,2347.6251830307156,745.0000000000001,20.4
69,23.582632116886934,2407.3585108994466,745.0000000000001,20.9
