time,acceleration,speed
0.0,0.0,0.0
1.0,1.3888888888888888,5.0
3.0,1.6666666666666667,17.0
6.0,3.2407407407407405,52.0
8.0,1.9444444444444438,66.0
10.0,5.972222222222223,109.0
12.0,1.9444444444444429,123.0
13.0,3.888888888888893,137.0
14.0,4.166666666666664,152.0
15.0,7.777777777777779,180.0
16.0,4.166666666666664,195.0
17.0,4.444444444444443,211.0
18.0,4.722222222222221,228.0
19.0,4.444444444444443,244.0
20.0,4.7222222222222285,261.0
21.0,4.722222222222214,278.0
22.0,5.0,296.0
23.0,4.7222222222222285,313.0
24.0,5.555555555555557,333.0
27.0,5.185185185185186,389.0
30.0,5.555555555555553,449.0
31.0,5.833333333333329,470.0
35.0,5.625,551.0
36.0,6.111111111111114,573.0
38.0,6.25,618.0
39.0,6.388888888888886,641.0
40.0,6.388888888888886,664.0
41.0,6.666666666666686,688.0
42.0,6.944444444444429,713.0
43.0,6.388888888888886,736.0
44.0,7.2222222222222285,762.0
46.0,7.083333333333329,813.0
47.0,7.2222222222222285,839.0
49.0,6.805555555555557,888.0
52.0,4.444444444444447,936.0
53.0,3.8888888888888573,950.0
54.0,4.166666666666686,965.0
55.0,3.888888888888914,979.0
57.0,5.0,1015.0
58.0,6.666666666666629,1039.0
59.0,7.7777777777777715,1067.0
60.0,8.333333333333371,1097.0
61.0,8.611111111111086,1128.0
62.0,9.166666666666686,1161.0
63.0,9.166666666666686,1194.0
64.0,9.4444444444444,1228.0
65.0,9.166666666666686,1261.0
66.0,9.444444444444457,1295.0
67.0,9.444444444444457,1329.0
68.0,9.722222222222172,1364.0
69.0,10.0,1400.0
70.0,10.0,1436.0
71.0,10.277777777777771,1473.0
72.0,9.722222222222229,1508.0
73.0,10.277777777777771,1545.0
74.0,10.833333333333371,1584.0
75.0,10.833333333333314,1623.0
76.0,10.833333333333314,1662.0
78.0,11.388888888888914,1744.0
79.0,11.388888888888857,1785.0
80.0,12.222222222222229,1829.0
81.0,11.944444444444457,1872.0
82.0,12.222222222222172,1916.0
84.0,12.777777777777771,2008.0
85.0,12.777777777777828,2054.0
87.0,13.472222222222229,2151.0
91.0,14.166666666666657,2355.0
92.0,14.722222222222285,2408.0
93.0,15.277777777777715,2463.0
94.0,15.833333333333371,2520.0
95.0,15.833333333333371,2577.0
