time,altitude,speed
00:00:00,0.0,0 
00:00:01,0.0,5
00:00:03,0.0,17
00:00:06,0.0,52
00:00:08,0.0,66
00:00:10,0.2,109
00:00:12,0.2,123
00:00:13,0.2,137
00:00:14,0.3,152	   
00:00:15,0.3,180
00:00:16,0.4,195
00:00:17,0.4,211
00:00:18,0.5,228
00:00:19,0.6,244
00:00:20,0.6,261
00:00:21,0.7,278
00:00:22,0.8,296
00:00:23,0.9,313
00:00:24,1.0,333
00:00:27,1.3,389
00:00:30,1.6,449
00:00:31,1.7,470
00:00:35,2.3,551
00:00:36,2.5,573
00:00:38,2.8,618
00:00:39,3.0,641
00:00:40,3.1,664
00:00:41,3.3,688
00:00:42,3.5,713
00:00:43,3.7,736
00:00:44,3.9,762
00:00:46,4.3,813
00:00:47,4.6,839
00:00:49,5.0,888
00:00:52,5.8,936
00:00:53,6.0,950
00:00:54,6.3,965
00:00:55,6.5,979
00:00:57,7.0,1015
00:00:58,7.3,1039
00:00:59,7.6,1067
00:01:00,7.8,1097
00:01:01,8.1,1128
00:01:02,8.4,1161
00:01:03,8.7,1194
00:01:04,9.0,1228
00:01:05,9.3,1261
00:01:06,9.6,1295
00:01:07,10.0,1329
00:01:08,10.3,1364
00:01:09,10.6,1400
00:01:10,11.6,1436
00:01:11,11.3,1473
00:01:12,11.7,1508
00:01:13,12.0,1545
00:01:14,12.4,1584
00:01:15,12.7,1623
00:01:16,13.1,1662
00:01:18,13.9,1744
00:01:19,14.3,1785
00:01:20,14.7,1829
00:01:21,15.1,1872
00:01:22,15.5,1916
00:01:24,16.3,2008
00:01:25,16.8,2054
00:01:27,17.6,2151
00:01:31,19.4,2355
00:01:32,19.9,2408
00:01:33,20.4,2463
00:01:34,20.9,2520
00:01:35,21.4,2577
00:01:36,21.9,2634
00:01:38,22.9,2751
00:01:40,24.0,2874
00:01:41,24.5,2936
00:01:42,25.0,2996
00:01:43,25.6,3058
00:01:45,26.7,3187
00:01:47,27.8,3320
00:01:48,28.4,3389
00:01:49,29.0,3461
00:01:50,29.6,3534
00:01:51,30.3,3606
00:01:52,30.9,3678
00:01:54,32.1,3827
00:01:55,32.8,3903
00:01:56,33.4,3980
00:01:57,34.1,4058
00:01:58,34.7,4135
00:01:59,35.4,4215
00:02:00,36.1,4299
00:02:01,36.8,4382
00:02:02,37.5,4467
00:02:03,38.3,4553
00:02:04,39.0,4638
00:02:05,39.7,4725
00:02:08,41.9,4987
00:02:09,42.7,5081
00:02:10,43.5,5172
00:02:12,45.1,5367
00:02:13,45.9,5466
00:02:15,47.6,5661
00:02:16,48.4,5765
00:02:17,43.3,5866
00:02:18,50.2,5974
00:02:19,51.1,6083
00:02:20,52.0,6191
00:02:22,53.8,6414
00:02:23,54.7,6531
00:02:24,55.7,6647
00:02:25,56.7,6766
00:02:26,57.6,6881
00:02:27,58.6,6989
00:02:29,60.6,7195
00:02:30,61.6,7303
00:02:32,63.6,7516
00:02:33,64.7,7628
00:02:34,65.7,7738
00:02:35,66.8,7826
00:02:36,67.8,7851
00:02:37,68.9,7847
00:02:38,69.9,7836
00:02:40,72.0,7807
00:02:41,73.0,7791
00:02:42,74.0,7775
00:02:43,75.06,7760
00:02:44,76.0,7744
00:02:45,76.9,7728
00:02:46,77.9,7721
00:02:47,78.9,7726
00:02:48,79.8,7735
00:02:49,80.8,7745
00:02:50,81.8,7757
00:02:51,82.7,7769
00:02:52,83.6,7781
00:02:53,84.5,7793
00:02:54,85.5,7805
00:02:55,86.4,7818
00:02:56,87.3,7831
00:02:57,88.3,7845
00:02:58,89.2,7858
00:02:59,90.1,7871
00:03:00,91.0,7885
00:03:01,91.9,7899
00:03:03,93.7,7926
00:03:04,94.5,7940
00:03:05,95.4,7955
00:03:06,96.3,7969
00:03:07,97.1,7983
00:03:08,98.0,7998
00:03:09,98.8,8013
00:03:11,101,8044
00:03:15,104,8105
00:03:16,105,8123
00:03:17,106,8140
00:03:18,106,8157
00:03:19,107,8175
00:03:20,108,8193
00:03:21,109,8211
00:03:23,110,8247
00:03:24,111,8265
00:03:26,113,8301
00:03:27,114,8320
00:03:28,114,8338
00:03:29,115,8356
