time,horizontal_speed,altitude
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,25.73249182900317,0.0
4,0.0,0.0
5,44.876373392787514,0.2
6,5.791998053526717,0.2
7,0.0,0.2
8,0.0,0.3
9,39.16792931396129,0.3
10,0.0,0.4
11,0.0,0.4
12,11.990565664895925,0.5
13,0.0,0.6
14,0.0,0.6
15,0.0,0.7
16,13.119377700007513,0.8
17,0.0,0.9
18,0.0,1.0
19,0.0,1.3
20,107.26531253052106,1.6
21,0.0,1.7
22,145.5366594290698,2.3
23,0.0,2.5
24,94.88064047863061,2.8
25,10.156341105603264,3.0
26,0.0,3.1
27,0.0,3.3
28,36.305599388266025,3.5
29,93.26413481985098,3.7
30,178.69724838677212,3.9
31,327.76973624787246,4.3
32,385.8704445795245,4.6
33,483.2380365823865,5.0
34,566.6312734044952,5.8
35,589.470101022944,6.0
36,613.3514490078261,6.3
37,635.1503758953464,6.5
38,689.3475175845633,7.0
39,724.2209607571434,7.3
40,763.8481524491631,7.6
41,805.2229504925949,7.8
42,846.970483547095,8.1
43,890.4470787194485,8.4
44,933.0653782024065,8.7
45,976.1961892980324,9.0
46,1017.3966778007484,9.3
47,1059.2450141492288,9.6
48,1100.552588475444,10.0
49,1142.572098381542,10.3
50,1185.316413452543,10.6
51,1227.6282010445996,11.6
52,1270.710037734809,11.3
53,1311.1212758551362,11.7
54,1353.5139452550904,12.0
55,1397.8665887701873,12.4
56,1441.9098446158137,12.7
57,1485.6712287716957,13.1
58,1576.8674643101747,13.9
59,1622.0974076793293,14.3
60,1670.3939655063414,14.7
61,1717.3697912796765,15.1
62,1765.2283138449825,15.5
63,1864.6820104242975,16.3
64,1914.129305977002,16.8
65,2017.8642174338688,17.6
66,2234.054609896544,19.4
67,2289.855672307755,19.9
68,2347.6251830307156,20.4
69,2407.3585108994466,20.9
70,2466.962504781943,21.4
71,2526.4463184481083,21.9
72,2648.2024091825006,22.9
73,2775.761337002877,24.0
74,2839.906864670037,24.5
75,2901.894381262006,25.0
76,2965.8622692228982,25.6
77,3098.700372736932,26.7
78,3235.3322858711126,27.8
79,3306.099817004925,28.4
80,3379.8662695438115,29.0
81,3454.581161298718,29.6
82,3528.202233432772,30.3
83,3601.757765314042,30.9
84,3753.7852895444084,32.1
85,3831.2379200462087,32.8
86,3909.6515189975694,33.4
87,3989.0273250505566,34.1
88,4067.333278697481,34.7
89,4148.638330826152,35.4
90,4233.955124939328,36.1
91,4318.205530078438,36.8
92,4404.436853900848,37.5
93,4491.6348916625,38.3
94,4577.7744592760355,39.0
95,4665.897555669219,39.7
96,4931.038835782983,41.9
97,5026.085554385241,42.7
98,5118.0620355755755,43.5
99,5315.0412980521605,45.1
100,5414.914857463619,45.9
101,5611.542558770172,47.6
102,5716.151715280024,48.4
103,5817.655906541189,43.3
104,5926.070822649838,50.2
105,6035.490475839608,51.1
106,6143.878594348913,52.0
107,6368.222357684566,53.8
108,6485.746275487501,54.7
109,6602.308592454612,55.7
110,6721.819528571959,56.7
111,6837.342830928863,57.6
112,6945.748883709773,58.6
113,7152.716763493815,60.6
114,7260.963413443013,61.6
115,7474.74154307709,63.6
116,7586.940714432991,64.7
117,7697.207399440397,65.7
118,7785.458712113545,66.8
119,7810.44688558018,67.8
120,7806.306915201387,68.9
121,7795.135652412097,69.9
122,7765.857176858072,72.0
123,7749.65164549628,73.0
124,7733.439315006544,74.0
125,7718.219741120502,75.06
126,7701.9878113973655,76.0
127,7685.731323187289,76.9
128,7678.54666675799,77.9
129,7683.445578034459,78.9
130,7692.425157417467,79.8
131,7702.439503531044,80.8
132,7714.482347235132,81.8
133,7726.519217747551,82.7
134,7738.544309749129,83.6
135,7750.563483099507,84.5
136,7762.576755748628,85.5
137,7775.583788769358,86.4
138,7788.5791387132995,87.3
139,7802.56247003287,88.3
140,7815.546126546297,89.2
141,7828.535543126824,90.1
142,7842.54191183502,91.0
143,7856.542417974468,91.9
144,7883.612867763449,93.7
145,7897.618876777956,94.5
146,7912.653188305112,95.4
147,7926.68200692376,96.3
148,7940.704957509895,97.1
149,7955.715904653431,98.0
150,7970.738212632566,98.8
151,8001.856277695126,101.0
152,8063.135441319446,104.0
153,8081.194747837051,105.0
154,8098.25427004007,106.0
155,8115.330445946954,106.0
156,8133.417040211328,107.0
157,8151.508863394555,108.0
158,8169.6114802146085,109.0
159,8205.826500266085,110.0
160,8223.972200220524,111.0
161,8260.211840765403,113.0
162,8279.377108548417,114.0
163,8297.564138883707,114.0
164,8315.848682218524,115.0
165,8335.190670610487,116.0
166,8355.583670165466,117.0
167,8374.883034930424,117.0
168,8394.121612109804,118.0
169,8414.294088038521,119.0
170,8433.461090929526,120.0
171,8453.690064144608,120.0
172,8514.12810158779,123.0
173,8534.441557088432,123.0
174,8555.705310918787,124.0
175,8575.994061087173,125.0
176,8597.269761850252,125.0
177,8618.584556957836,126.0
178,8640.8504439703,127.0
179,8683.171960361598,128.0
180,8705.383342797819,129.0
181,8726.599412460477,130.0
182,8747.849107066262,130.0
183,8792.218205448624,132.0
184,8836.612523410138,133.0
185,8927.15319117833,136.0
186,8973.50951411988,137.0
187,8997.771112892347,138.0
188,9069.21591459568,139.0
189,9093.476682371793,140.0
190,9117.730928468476,141.0
191,9141.97408713657,141.0
192,9215.389187972609,143.0
193,9240.64442130459,144.0
194,9265.95701052987,144.0
195,9290.331573738367,145.0
196,9314.765541803263,146.0
197,9340.189504085141,146.0
198,9365.551940225505,147.0
199,9391.85289226785,147.0
200,9418.164407275397,148.0
201,9444.555322878552,149.0
202,9498.103165895809,150.0
203,9524.560449175595,150.0
204,9550.94569278578,151.0
205,9605.375850128,152.0
206,9632.73862383184,153.0
207,9660.175083241964,153.0
208,9687.578382797195,154.0
209,9715.947936539982,154.0
210,9743.243761704825,155.0
211,9770.57623858238,155.0
212,9798.950777009082,156.0
213,9827.39254686612,156.0
214,9883.95963446447,157.0
215,9913.448931240333,158.0
216,9970.9361910907,159.0
217,10000.262526029313,160.0
218,10030.600725459082,160.0
219,10059.929479663486,161.0
220,10090.295900878426,161.0
221,10120.666116440258,162.0
222,10151.089913578537,162.0
223,10180.46677026965,163.0
224,10210.791959490703,163.0
225,10242.052136217022,164.0
226,10272.333993857386,164.0
227,10303.641178740985,165.0
228,10334.94809904126,165.0
229,10368.224280832968,166.0
230,10398.466510280836,166.0
231,10430.732019812214,167.0
232,10455.983228943638,167.0
233,10494.24330184864,167.0
234,10525.464442407996,168.0
235,10557.709649064545,168.0
236,10589.985849528312,169.0
237,10622.255761802,169.0
238,10655.496985124626,170.0
239,10687.704384010629,170.0
240,10720.937633901243,171.0
241,10754.194565377735,171.0
242,10788.472865734582,172.0
243,10823.743197791067,172.0
244,10858.003119819039,172.0
245,10892.259776279237,173.0
246,10926.513197886152,173.0
247,10960.741556956586,174.0
248,10994.937420310458,174.0
249,11030.136208394884,175.0
250,11065.437879044955,175.0
251,11101.90496515687,175.0
252,11138.36576926694,176.0
253,11172.697911981577,176.0
254,11208.853643437405,177.0
255,11242.985959430467,177.0
256,11279.167730438183,178.0
257,11315.3955299848,178.0
258,11352.621054297071,178.0
259,11388.842482832284,179.0
260,11426.067473059727,179.0
261,11462.305447429233,180.0
262,11498.517198721918,180.0
263,11536.699624338939,180.0
264,11574.863109341726,181.0
265,11613.002705566987,181.0
266,11650.11828266134,181.0
267,11689.234204341645,182.0
268,11728.391564547886,182.0
269,11767.567983526314,183.0
270,11806.762722594807,183.0
271,11845.959651667417,183.0
272,11884.16797004253,184.0
273,11924.354254372316,184.0
274,11964.493395454592,184.0
275,12003.615556660367,185.0
276,12043.736887786208,185.0
277,12084.895523026633,185.0
278,12125.051263223693,186.0
279,12166.205292621944,186.0
280,12207.32033516906,187.0
281,12249.452691729275,187.0
282,12289.604641279206,187.0
283,12329.817004051802,188.0
284,12371.101075694049,188.0
285,12414.387710323139,188.0
286,12456.624156896809,189.0
287,12498.768468222068,189.0
288,12539.865380674231,189.0
289,12582.961848330591,189.0
290,12626.057047057706,190.0
291,12669.166349843228,190.0
292,12712.274038197187,190.0
293,12756.365525967762,191.0
294,12801.456136310297,191.0
295,12846.53086716362,191.0
296,12890.618849418659,192.0
297,12935.69164018208,192.0
298,12980.777728321935,192.0
299,13026.862946320662,193.0
300,13071.97428862485,193.0
301,13118.08401161551,193.0
302,13164.191818042695,193.0
303,13210.271373648313,194.0
304,13257.350069925107,194.0
305,13304.414743021242,194.0
306,13351.491339459211,195.0
