time,temperature,altitude
00:03:31,287.3895,117
00:03:32,287.383,118
00:03:33,287.383,118
00:03:34,287.37649999999996,119
00:03:36,287.3635,121
00:03:41,287.344,124
00:03:42,287.3375,125
00:03:43,287.33099999999996,126
00:03:44,287.33099999999996,126
00:03:45,287.3245,127
00:03:46,287.318,128
00:03:47,287.31149999999997,129
00:03:48,287.31149999999997,129
00:03:50,287.2985,131
00:03:51,287.2985,131
00:03:52,287.292,132
00:03:58,287.26599999999996,136
00:03:59,287.2595,137
00:04:00,287.2595,137
00:04:01,287.253,138
00:04:02,287.24649999999997,139
00:04:04,287.24649999999997,139
00:04:05,287.23999999999995,140
00:04:06,287.23999999999995,140
00:04:07,287.2335,141
00:04:09,287.227,142
00:04:10,287.22049999999996,143
00:04:12,287.214,144
00:04:13,287.2075,145
00:04:14,287.2075,145
00:04:15,287.20099999999996,146
00:04:16,287.1945,147
00:04:17,287.1945,147
00:04:18,287.188,148
00:04:19,287.188,148
00:04:20,287.18149999999997,149
00:04:21,287.17499999999995,150
00:04:23,287.1685,151
00:04:24,287.162,152
00:04:25,287.162,152
00:04:26,287.15549999999996,153
00:04:27,287.15549999999996,153
00:04:29,287.1425,155
00:04:30,287.1425,155
00:04:31,287.13599999999997,156
00:04:32,287.13599999999997,156
00:04:34,287.12949999999995,157
00:04:35,287.123,158
00:04:36,287.123,158
00:04:37,287.1165,159
00:04:38,287.1165,159
00:04:39,287.10999999999996,160
00:04:40,287.10999999999996,160
00:04:41,287.1035,161
00:04:42,287.1035,161
00:04:43,287.097,162
00:04:44,287.097,162
00:04:45,287.09049999999996,163
00:04:46,287.09049999999996,163
00:04:47,287.084,164
00:04:48,287.084,164
00:04:49,287.0775,165
00:04:50,287.0775,165
00:04:51,287.07099999999997,166
00:04:52,287.07099999999997,166
00:04:53,287.06449999999995,167
00:04:54,287.06449999999995,167
00:04:55,287.058,168
00:04:56,287.058,168
00:04:57,287.0515,169
00:04:58,287.0515,169
00:04:59,287.04499999999996,170
00:05:00,287.04499999999996,170
00:05:01,287.0385,171
00:05:03,287.0385,171
00:05:04,287.0385,171
00:05:05,287.032,172
00:05:06,287.032,172
00:05:07,287.02549999999997,173
00:05:08,287.02549999999997,173
00:05:09,287.019,174
00:05:10,287.019,174
00:05:11,287.0125,175
00:05:12,287.0125,175
00:05:13,287.0125,175
00:05:14,287.006,176
00:05:15,287.006,176
00:05:15,286.99949999999995,177
00:05:16,286.99949999999995,177
00:05:17,286.993,178
00:05:18,286.993,178
00:05:19,286.993,178
00:05:20,286.9865,179
00:05:21,286.9865,179
00:05:22,286.97999999999996,180
00:05:23,286.97999999999996,180
00:05:24,286.97999999999996,180
00:05:25,286.9735,181
00:05:26,286.9735,181
00:05:27,286.967,182
00:05:28,286.967,182
00:05:29,286.967,182
00:05:30,286.96049999999997,183
00:05:31,286.96049999999997,183
00:05:32,286.96049999999997,183
00:05:33,286.95399999999995,184
00:05:34,286.95399999999995,184
00:05:35,286.9475,185
00:05:36,286.9475,185
00:05:37,286.9475,185
00:05:38,286.941,186
00:05:39,286.941,186
00:05:40,286.941,186
00:05:41,286.93449999999996,187
00:05:42,286.93449999999996,187
00:05:43,286.93449999999996,187
00:05:44,286.928,188
00:05:45,286.928,188
00:05:46,286.928,188
00:05:47,286.9215,189
00:05:48,286.9215,189
00:05:49,286.9215,189
00:05:50,286.91499999999996,190
00:05:51,286.91499999999996,190
00:05:52,286.91499999999996,190
00:05:53,286.9085,191
00:05:55,286.9085,191
00:05:55,286.9085,191
00:05:56,286.902,192
00:05:57,286.902,192
00:05:59,286.902,192
00:05:59,286.89549999999997,193
00:06:01,286.89549999999997,193
00:06:02,286.89549999999997,193
00:06:03,286.88899999999995,194
00:06:04,286.88899999999995,194
00:06:05,286.88899999999995,194
00:06:06,286.88899999999995,194
00:06:07,286.8825,195
00:06:08,286.8825,195
00:06:09,286.8825,195
00:06:10,286.876,196
00:06:11,286.876,196
00:06:12,286.876,196
00:06:13,286.876,196
00:06:14,286.86949999999996,197
00:06:15,286.86949999999996,197
00:06:16,286.86949999999996,197
00:06:17,286.863,198
00:06:18,286.863,198
00:06:19,286.863,198
00:06:19,286.863,198
00:06:20,286.8565,199
00:06:21,286.8565,199
00:06:22,286.8565,199
00:06:23,286.8565,199
00:06:24,286.84999999999997,200
00:06:25,286.84999999999997,200
00:06:26,286.84999999999997,200
00:06:27,286.84999999999997,200
00:06:28,286.84349999999995,201
00:06:29,286.84349999999995,201
00:06:30,286.84349999999995,201
00:06:31,286.84349999999995,201
00:06:32,286.837,202
00:06:33,286.837,202
00:06:34,286.837,202
00:06:35,286.837,202
00:06:36,286.8305,203
00:06:37,286.8305,203
00:06:38,286.8305,203
00:06:39,286.8305,203
00:06:40,286.8305,203
00:06:41,286.82399999999996,204
00:06:42,286.82399999999996,204
00:06:43,286.82399999999996,204
00:06:44,286.82399999999996,204
00:06:45,286.82399999999996,204
00:06:46,286.8175,205
00:06:47,286.8175,205
00:06:48,286.8175,205
00:06:49,286.8175,205
00:06:50,286.8175,205
00:06:51,286.811,206
00:06:52,286.811,206
00:06:53,286.811,206
00:06:54,286.811,206
00:06:55,286.811,206
00:06:56,286.80449999999996,207
00:06:57,286.80449999999996,207
00:06:58,286.80449999999996,207
00:06:59,286.80449999999996,207
00:07:00,286.80449999999996,207
