time,horizontal_speed,altitude
220,9941.76263575,158.0
221,9971.06065349,158.0
222,9999.4130956,159.0
223,10028.8739763,159.0
224,10058.4229303,160.0
225,10089.0192564,160.0
226,10117.5641348,161.0
227,10147.0203065,161.0
228,10176.3711266,162.0
229,10206.6617407,162.0
230,10231.9748083,163.0
231,10268.3069283,163.0
232,10298.6232562,164.0
233,10329.9034308,164.0
234,10361.2365833,165.0
235,10393.6576689,165.0
236,10425.088625,166.0
237,10456.4562985,166.0
238,10487.7258452,167.0
239,10518.9982202,167.0
240,10551.2661326,167.0
241,10583.5311478,168.0
242,10616.7664242,168.0
243,10648.024359,169.0
244,10681.3106354,169.0
245,10713.5919889,170.0
246,10746.8410822,170.0
247,10780.0572239,171.0
248,10813.29515,171.0
249,10846.55423,172.0
250,10879.8103021,172.0
251,10912.0329316,172.0
252,10946.232815,173.0
253,10979.4522361,173.0
254,11015.6986955,174.0
255,11049.939631,174.0
256,11086.1774374,175.0
257,11121.4128803,175.0
258,11157.6884589,175.0
259,11191.9828537,176.0
260,11228.393937,176.0
261,11264.7731341,177.0
262,11301.1088806,177.0
263,11337.3342508,177.0
264,11372.5703339,178.0
265,11408.8288181,178.0
266,11444.0582459,179.0
267,11481.2623967,179.0
268,11512.4108147,179.0
269,11555.5922067,180.0
270,11594.8144007,180.0
271,11632.1005842,181.0
272,11663.3993568,181.0
273,11707.6587305,181.0
274,11745.8870133,182.0
275,11784.068482,182.0
276,11822.282224,182.0
277,11861.5301383,183.0
278,11899.8193857,183.0
279,11939.0982501,184.0
280,11977.3160946,184.0
281,12017.467598,184.0
282,12056.5896899,185.0
283,12095.7296331,185.0
284,12134.8867972,185.0
285,12177.0434242,186.0
286,12218.1600446,186.0
287,12259.28371,186.0
288,12300.4940488,187.0
289,12341.7596041,187.0
290,12384.1085563,187.0
291,12426.3764267,188.0
292,12468.5988372,188.0
293,12510.7251944,188.0
294,12552.8388821,189.0
295,12594.9351838,189.0
296,12636.014245,189.0
297,12678.0773209,190.0
298,12719.1547277,190.0
299,12764.2479171,190.0
300,12808.3544611,191.0
301,12853.4597634,191.0
302,12897.5485392,191.0
303,12941.6216741,191.0
304,12985.6652686,192.0
305,13029.7084739,192.0
306,13073.7654465,192.0
307,13119.8644184,193.0
308,13166.9759087,193.0
309,13213.0851642,193.0
310,13259.1791936,194.0
311,13305.2848782,194.0
312,13349.38816,194.0
313,13395.4774273,194.0
314,13439.5395754,195.0
315,13488.5897294,195.0
316,13535.6568661,195.0
317,13583.7850363,195.0
318,13631.9274834,196.0
319,13678.0489495,196.0
320,13728.1221419,196.0
321,13777.1775407,197.0
322,13820.2420983,197.0
323,13875.2970735,197.0
324,13924.3609464,197.0
325,13975.4135096,198.0
326,14027.4760694,198.0
327,14077.5268657,198.0
328,14128.5771242,198.0
329,14178.6061305,199.0
330,14231.6353446,199.0
331,14282.6639283,199.0
332,14334.7122782,199.0
333,14386.7599352,200.0
334,14437.816428,200.0
335,14490.8627528,200.0
336,14544.9179551,200.0
337,14597.9628103,200.0
338,14650.0068677,201.0
339,14704.0414853,201.0
340,14758.0756612,201.0
341,14812.1182666,201.0
342,14866.1602301,202.0
343,14921.2102946,202.0
344,14977.2511122,202.0
345,15030.290956,202.0
346,15086.322249,202.0
347,15145.3534532,203.0
348,15202.3840199,203.0
349,15258.406052,203.0
350,15316.4280476,203.0
351,15373.449696,203.0
352,15430.4867061,204.0
353,15489.5233156,204.0
354,15541.566237,204.0
355,15605.6020208,204.0
356,15664.6367621,204.0
357,15722.6636102,205.0
358,15783.6903339,205.0
359,15845.7238181,205.0
360,15905.7565746,205.0
361,15965.7887754,205.0
362,16625.8564892,206.0
363,16086.8382917,206.0
364,16148.8692032,206.0
365,16210.8995737,206.0
366,16273.9294749,206.0
367,16336.9525616,206.0
368,16398.975239,207.0
369,16462.0037591,207.0
370,16527.0318801,207.0
371,16594.0595964,207.0
372,16659.080857,207.0
373,16725.1018399,207.0
374,16791.1224924,208.0
375,16857.1428184,208.0
376,16922.1627722,208.0
377,16990.1879948,208.0
378,17057.2126806,208.0
379,17127.2370185,208.0
380,17193.2555381,208.0
381,17266.2740496,209.0
382,17336.2921225,209.0
383,17399.3096127,209.0
384,17466.3269719,209.0
385,17539.3442643,209.0
386,17611.3612194,209.0
387,17683.3778793,209.0
388,17755.3942476,210.0
389,17827.4103279,210.0
390,17900.4261557,210.0
391,17973.4417003,210.0
392,18046.4569653,210.0
393,18120.4719831,210.0
394,18201.4869234,210.0
395,18279.5014976,211.0
396,18432.5177668,211.0
397,18509.5317037,211.0
398,18740.5491115,211.0
399,18958.5656513,212.0
400,19030.5784609,212.0
401,19100.5873418,212.0
402,19173.5961567,212.0
403,19318.6063133,212.0
404,19466.6197945,212.0
405,19616.632968,213.0
406,19693.6444881,213.0
407,19762.6556386,213.0
408,19843.6667731,213.0
409,19920.6776129,213.0
410,19997.6882303,213.0
411,20076.6956063,213.0
412,20156.702878,213.0
413,20235.7100169,213.0
414,20315.7199779,213.0
415,20394.7268436,213.0
416,20474.733609,214.0
417,20554.7402616,214.0
418,20634.7495475,214.0
419,20716.7586509,214.0
420,20798.767549,214.0
421,20882.7762655,214.0
422,20966.7822552,214.0
423,21049.7881283,214.0
424,21133.7939067,214.0
425,21218.8019978,214.0
426,21308.8075849,214.0
427,21396.8130499,214.0
428,21483.8184041,214.0
429,21568.8258811,214.0
430,21655.8309988,215.0
431,21744.8360338,215.0
432,21830.8409493,215.0
433,21919.847868,215.0
434,22015.8526249,215.0
435,22110.8552752,215.0
436,22204.8578825,215.0
437,22297.8624063,215.0
438,22387.8687289,215.0
439,22484.8730563,215.0
440,22581.8754536,215.0
441,22681.8760027,215.0
442,22779.8765361,215.0
443,22877.877065,215.0
444,22976.8775947,215.0
445,23076.879924,215.0
446,23175.8839793,215.0
447,23277.8896786,215.0
448,23382.8935531,216.0
449,23485.8956823,216.0
450,23589.8977842,216.0
451,23694.9014675,216.0
452,23800.9066331,216.0
453,23907.9101234,216.0
454,24015.9120376,216.0
455,24123.9139219,216.0
456,24231.9172351,216.0
457,24339.921882,216.0
458,24457.9250351,216.0
459,24572.9267488,216.0
460,24686.928431,216.0
461,24802.9314038,216.0
462,24915.9355612,216.0
463,25032.9383529,216.0
464,25148.9398584,216.0
465,25262.9401298,216.0
466,25389.9416266,216.0
467,25514.9442593,216.0
468,25637.9479396,216.0
469,25756.950385,216.0
470,25883.9517076,216.0
471,26006.951936,216.0
472,26134.9532283,216.0
473,26262.9555246,216.0
474,26397.9587511,216.0
475,26529.9608875,216.0
476,26662.962026,216.0
477,26797.9622173,216.0
478,26933.9624081,216.0
479,27065.9635094,216.0
480,27122.965384,216.0
481,27140.9680168,216.0
482,27145.9697054,216.0
483,27146.9705308,216.0
484,27147.9705319,216.0
485,27147.9705319,216.0
486,27147.9713448,216.0
487,27147.9729364,216.0
488,27147.9752386,216.0
489,27147.9767166,216.0
490,27147.9774385,216.0
491,27147.9774385,216.0
492,27147.9774385,216.0
493,27147.978149,216.0
494,27147.979536,216.0
495,27147.9815313,216.0
496,27147.9828046,216.0
497,27147.9840324,216.0
498,27147.9852148,216.0
499,27147.9869031,216.0
500,27147.9879717,216.0
501,27147.988489,216.0
502,27147.988489,216.0
503,27146.9884886,216.0
504,27146.9884886,216.0
505,27146.9884886,216.0
506,27146.9884886,216.0
507,27146.9884886,216.0
508,27146.9884886,216.0
509,27146.9884886,216.0
510,27146.9884886,216.0
511,27146.9884886,216.0
512,27146.9884886,216.0
513,27146.9884886,216.0
514,27146.9889945,216.0
515,27146.9899723,216.0
516,27146.9913537,216.0
517,27146.9922177,216.0
518,27146.9926327,216.0
519,27146.9926327,216.0
520,27146.9926327,216.0
521,27146.9926327,216.0
522,27146.9926327,216.0
523,27146.9926327,216.0
524,27146.9926327,216.0
525,27146.9926327,216.0
526,27146.9926327,216.0
527,27146.9926327,216.0
528,27145.9930361,216.0
529,27145.9938092,216.0
530,27145.9948836,216.0
531,27145.9955431,216.0
532,27145.9958557,216.0
533,27145.9958557,216.0
534,27145.9958557,216.0
535,27145.9958557,216.0
536,27145.9958557,216.0
537,27145.9958557,216.0
538,27145.9958557,216.0
539,27145.9958557,216.0
540,27145.9958557,216.0
541,27145.9958557,216.0
542,27145.9958557,217.0
543,27145.9958557,217.0
544,27145.9958557,217.0
545,27145.9958557,217.0
546,27144.9961569,217.0
547,27144.9967254,217.0
548,27144.9974929,217.0
549,27144.9979477,217.0
550,27144.998158,217.0
551,27144.998158,217.0
552,27144.998158,217.0
553,27144.9979477,217.0
554,27144.9974929,217.0
555,27144.9967254,217.0
556,27144.9961569,217.0
557,27144.9958556,217.0
558,27144.9958556,217.0
559,27144.9958556,217.0
560,27144.9958556,217.0
561,27144.9958556,217.0
562,27144.9958556,217.0
563,27143.9958554,217.0
564,27143.9958554,217.0
565,27143.9958554,217.0
566,27143.9958554,217.0
567,27143.9958554,217.0
568,27143.9958554,217.0
569,27143.9958554,217.0
570,27143.9958554,217.0
571,27143.9958554,217.0
572,27143.9958554,217.0
573,27143.9958554,217.0
574,27143.9958554,217.0
575,27143.9958554,217.0
576,27143.9958554,217.0
577,27143.9958554,217.0
578,27142.9958553,217.0
579,27142.9958553,217.0
580,27142.9958553,217.0
581,27142.9958553,217.0
582,27142.9958553,217.0
583,27142.9958553,217.0
584,27142.9958553,217.0
585,27142.9958553,217.0
586,27142.9958553,217.0
587,27142.9958553,217.0
588,27142.9958553,217.0
589,27142.9958553,217.0
590,27142.9958553,217.0
591,27141.9958551,217.0
592,27141.9958551,217.0
593,27141.9955424,217.0
594,27141.9948829,217.0
595,27141.9938083,217.0
596,27141.993035,217.0
597,27141.9926313,217.0
598,27141.9926313,217.0
599,27141.9926313,217.0
600,27141.9926313,217.0
601,27141.9926313,217.0
602,27141.9926313,217.0
603,27140.9926311,217.0
604,27140.9926311,217.0
605,27140.9926311,217.0
606,27140.9926311,217.0
607,27140.9926311,218.0
608,27140.9926311,218.0
609,27140.9926311,218.0
610,27140.9926311,218.0
611,27140.9926311,218.0
612,27140.9926311,218.0
613,27140.9926311,218.0
614,27140.9926311,218.0
615,27139.9926308,218.0
616,27139.9926308,218.0
617,27139.9926308,218.0
618,27139.9926308,218.0
619,27139.9926308,218.0
620,27139.9926308,218.0
621,27139.9926308,218.0
622,27139.9926308,218.0
623,27139.9926308,218.0
624,27139.9926308,218.0
625,27139.9926308,218.0
626,27139.9926308,218.0
627,27138.9926305,218.0
628,27138.9926305,218.0
629,27138.9922154,218.0
630,27138.9913511,218.0
631,27138.9899693,218.0
632,27138.9889913,218.0
633,27138.9884852,218.0
634,27138.9884852,218.0
635,27138.9884852,218.0
636,27138.9884852,218.0
637,27137.9884848,218.0
638,27137.9884848,218.0
639,27137.9884848,218.0
640,27137.9889909,218.0
641,27137.989969,218.0
642,27137.9913508,218.0
643,27137.9922151,218.0
644,27137.9926303,218.0
645,27137.9926303,218.0
646,27137.9926303,218.0
647,27136.99263,218.0
648,27136.99263,218.0
649,27136.99263,218.0
650,27136.99263,218.0
651,27136.9922149,218.0
652,27136.9913505,218.0
653,27136.9899686,218.0
654,27136.9889905,218.0
655,27136.9884844,219.0
656,27136.9884844,219.0
657,27135.9884839,219.0
658,27135.9884839,219.0
659,27135.9884839,219.0
660,27135.9884839,219.0
661,27135.9884839,219.0
662,27135.9884839,219.0
663,27135.9884839,219.0
664,27135.9884839,219.0
665,27135.9884839,219.0
666,27134.9884835,219.0
667,27134.9884835,219.0
668,27134.9884835,219.0
669,27134.9884835,219.0
670,27134.9884835,219.0
671,27134.9884835,219.0
672,27134.9884835,219.0
673,27134.9884835,219.0
674,27134.9884835,219.0
675,27134.9884835,219.0
676,27133.9884831,219.0
677,27133.9884831,219.0
678,27133.9884831,219.0
679,27133.9884831,219.0
680,27133.9884831,219.0
681,27133.9879655,219.0
682,27133.9868963,219.0
683,27133.9852072,219.0
684,27133.9840242,219.0
685,27132.983415,219.0
686,27132.983415,219.0
687,27132.983415,219.0
688,27132.983415,219.0
689,27132.983415,219.0
690,27132.983415,219.0
691,27132.983415,219.0
692,27132.983415,219.0
693,27131.9834144,219.0
694,27131.9834144,219.0
695,27131.9834144,220.0
696,27131.9834144,220.0
697,27131.9834144,220.0
698,27131.9834144,220.0
699,27131.9834144,220.0
700,27131.9834144,220.0
701,27131.9834144,220.0
702,27130.9834138,220.0
703,27130.9834138,220.0
704,27130.9834138,220.0
705,27130.9834138,220.0
706,27130.9834138,220.0
707,27130.9834138,220.0
708,27130.9834138,220.0
709,27130.9834138,220.0
710,27130.9834138,220.0
711,27129.9834132,220.0
712,27129.9834132,220.0
713,27129.9834132,220.0
714,27129.9834132,220.0
715,27129.9834132,220.0
716,27129.9834132,220.0
717,27129.9834132,220.0
718,27128.9834126,220.0
719,27128.9834126,220.0
720,27128.9834126,220.0
721,27128.9834126,220.0
722,27128.9834126,220.0
723,27128.9834126,220.0
724,27128.9834126,220.0
725,27128.9834126,220.0
726,27128.9834126,220.0
727,27127.983412,220.0
728,27127.983412,220.0
729,27127.983412,220.0
730,27127.983412,220.0
731,27127.983412,221.0
732,27127.983412,221.0
733,27127.983412,221.0
734,27127.983412,221.0
735,27127.983412,221.0
736,27126.9834114,221.0
737,27126.9834114,221.0
738,27126.9834114,221.0
739,27126.9834114,221.0
740,27126.9834114,221.0
741,27126.9834114,221.0
742,27126.9834114,221.0
743,27126.9834114,221.0
744,27126.9834114,221.0
745,27126.9834114,221.0
746,27125.9834107,221.0
747,27125.9834107,221.0
748,27125.9834107,221.0
749,27125.9834107,221.0
750,27125.9834107,221.0
751,27125.9834107,221.0
752,27124.9834101,221.0
753,27123.9834095,222.0
754,27123.9834095,222.0
755,27123.9834095,222.0
756,27123.9834095,222.0
757,27123.9834095,222.0
758,27123.9834095,222.0
759,27123.9834095,222.0
760,27123.9834095,222.0
761,27122.9834089,222.0
762,27122.9834089,222.0
763,27122.9834089,222.0
764,27122.9834089,222.0
765,27122.9834089,222.0
766,27122.9834089,222.0
767,27121.9834083,222.0
768,27121.9834083,222.0
769,27121.9834083,222.0
770,27121.9834083,222.0
771,27121.9834083,222.0
772,27121.9834083,222.0
773,27121.9834083,222.0
774,27121.9834083,222.0
775,27120.9834077,222.0
776,27120.9834077,222.0
777,27120.9834077,222.0
778,27120.9834077,222.0
779,27120.9834077,222.0
780,27119.9834071,222.0
781,27119.9834071,222.0
782,27119.9834071,222.0
783,27119.9834071,223.0
784,27119.9834071,223.0
785,27119.9834071,223.0
786,27118.9834065,223.0
787,27118.9834065,223.0
788,27118.9834065,223.0
789,27118.9834065,223.0
790,27118.9834065,223.0
791,27117.9834059,223.0
792,27117.9834059,223.0
793,27117.9834059,223.0
794,27117.9834059,223.0
795,27116.9834052,223.0
796,27116.9834052,223.0
797,27116.9834052,223.0
798,27116.9834052,223.0
799,27116.9834052,223.0
800,27115.9834046,223.0
801,27115.9834046,223.0
802,27115.9834046,223.0
