time,downrange,horizontal_velocity,vertical_velocity,altitude
118,229.83546057,6297.22438857,877.0,71.5
119,237.446354733,6387.59921645,880.5,72.7
120,245.166893316,6479.96508812,884.111111111,73.9
121,253.650177965,6571.24206554,888.222222222,75.2
122,261.589800874,6661.46278263,892.611111111,76.4
123,269.590458387,6672.9664059,897.111111111,77.6
124,277.602493233,6680.42500311,901.666666667,78.8
125,294.325697298,6698.1382488,905.0,81.3
126,302.369333021,6707.92129008,907.277777778,82.5
127,310.424789506,6717.83951896,908.555555556,83.7
128,317.819325393,6726.77118353,909.666666667,84.8
129,325.893186042,6729.66323245,910.666666667,86.0
130,333.969337762,6730.58963329,911.277777778,87.2
131,341.373520691,6731.56114651,911.555555556,88.3
132,349.451403094,6731.5761917,911.444444444,89.5
133,356.856153451,6731.60627649,911.222222222,90.6
134,364.934699987,6732.63795066,911.055555556,91.8
135,372.341160879,6733.6545798,911.0,92.9
136,379.748744193,6734.67871781,910.888888889,94.0
137,387.157462316,6735.71786985,910.666666667,95.1
138,394.567319366,6736.74949438,910.5,96.2
139,402.651409749,6736.73447631,910.611111111,97.4
140,410.061784623,6736.67438538,911.055555556,98.5
141,420.16675111,6736.6142646,911.5,100.0
142,426.903847379,6737.57827207,911.833333333,101.0
143,433.641414372,6737.55571406,912.0,102.0
144,440.379967925,6739.55139251,912.166666667,103.0
145,447.120012597,6740.53795248,912.333333333,104.0
146,453.86104759,6741.5320318,912.444444444,105.0
147,460.603091697,6742.55618359,912.333333333,106.0
148,467.346174981,6743.61038317,912.0,107.0
149,474.09032371,6744.68707577,911.5,108.0
150,480.835552853,6745.77121011,910.944444444,109.0
151,487.582385614,6747.89431148,910.166666667,110.0
152,494.332369129,6752.07271789,909.111111111,111.0
153,501.085032304,6753.25363354,907.833333333,112.0
154,514.602809722,6764.52378403,906.555555556,114.0
155,521.372968017,6775.79280565,905.277777778,115.0
156,548.490559914,6783.00314307,904.166666667,119.0
157,555.280183232,6796.24349308,903.222222222,120.0
158,568.877810022,6801.3832968,902.5,122.0
159,575.695376911,6833.75048117,901.833333333,123.0
160,589.403310081,6874.18268879,901.166666667,125.0
161,603.165925754,6888.43298379,900.166666667,127.0
162,603.165925754,6902.75445536,898.611111111,127.0
163,610.075890523,6917.17508417,896.277777778,128.0
164,623.938774522,6945.70891488,893.944444444,130.0
165,630.892180563,6961.10316728,891.833333333,131.0
166,637.860937152,6976.41000992,890.388888889,132.0
167,644.845003301,6991.72228733,888.888888889,133.0
168,651.844874331,7008.01977279,887.555555556,134.0
169,658.860555594,7023.34275408,885.944444444,135.0
170,665.892048929,7039.64391636,884.555555556,136.0
171,672.939905931,7056.07008702,882.154140157,137.0
172,680.003919043,7071.95613684,875.963697092,138.0
173,687.084404404,7089.01458501,868.352585981,139.0
174,687.084404404,7107.03210034,861.031779157,139.0
175,687.084404404,7123.61497454,857.166666667,139.0
176,701.349169312,7141.14993312,853.722222222,141.0
177,708.499101099,7158.71364143,850.0,142.0
178,715.666636838,7176.35783685,845.555555556,143.0
179,722.852307511,7194.98350941,841.277777778,144.0
180,730.05659133,7213.58412803,837.166666667,145.0
181,730.05659133,7232.18576918,833.0,145.0
182,744.558745801,7269.96870164,828.277777778,147.0
183,751.838074655,7288.68900704,822.944444444,148.0
184,759.13660142,7308.36452293,818.0,149.0
185,759.13660142,7328.98378754,813.555555556,149.0
186,766.475842829,7349.49903055,810.0,150.0
187,773.835069896,7368.95510374,806.888888889,151.0
188,781.214236011,7389.37712673,804.111111111,152.0
189,788.613843501,7409.83785227,800.944444444,153.0
190,788.613843501,7430.35434743,797.222222222,153.0
191,796.05548898,7452.93660969,792.944444444,154.0
192,803.519219777,7474.52498491,788.5,155.0
193,811.005044497,7497.12445595,783.944444444,156.0
194,811.005044497,7519.72336962,779.333333333,156.0
195,818.53606985,7542.32733488,774.611111111,157.0
196,826.089695913,7564.92479135,769.888888889,158.0
197,826.089695913,7587.52139949,765.111111111,158.0
198,833.689014857,7611.11648986,760.333333333,159.0
199,841.31243352,7635.7208364,755.444444444,160.0
200,848.959980588,7659.37329879,749.944444444,161.0
201,848.959980588,7684.08172602,743.833333333,161.0
202,856.656441096,7708.8392907,737.111111111,162.0
203,864.377630241,7733.5389979,730.888888889,163.0
204,864.377630241,7759.1921536,725.111111111,163.0
205,872.149119461,7783.78628768,719.833333333,164.0
206,879.945706356,7809.38750068,714.444444444,165.0
207,879.945706356,7833.98206534,709.0,165.0
208,887.793490462,7861.58614721,703.5,166.0
209,895.667341724,7886.11637724,698.611111111,167.0
210,895.667341724,7913.60312167,694.277777778,167.0
211,903.594661222,7941.03587386,690.5,168.0
212,903.594661222,7967.51760429,686.055555556,168.0
213,952.147684516,8216.82349392,681.055555556,174.0
214,952.147684516,8246.38410471,675.444444444,174.0
215,968.728198373,8334.12975231,669.777777778,176.0
216,968.728198373,8364.68678433,664.0,176.0
217,977.108161854,8395.24017756,658.166666667,177.0
218,985.550268285,8488.97268356,652.333333333,178.0
219,994.05502831,8520.54736576,645.985748953,179.0
220,994.05502831,8833.94328083,638.666666667,179.0
221,1011.56907864,8680.10704459,630.833333333,181.0
222,1020.2664957,8714.72709011,623.458695492,182.0
223,1020.2664957,8747.30047622,616.518757863,182.0
224,1046.81141749,8949.31405037,608.833333333,185.0
225,1046.81141749,8982.93986151,600.666666667,185.0
226,1046.81141749,9017.52052155,593.036797692,185.0
227,1055.86421976,9088.08402372,586.666666667,186.0
228,1064.97002669,9123.52983438,580.833333333,187.0
229,1064.97002669,9160.97243747,575.0,187.0
230,1064.97002669,9197.40584652,569.166666667,187.0
231,1074.2026755,9267.89177536,563.388888889,188.0
232,1074.2026755,9304.306038,557.611111111,188.0
233,1083.52518364,9340.71023286,551.888888889,189.0
234,1083.52518364,9378.1095095,546.166666667,189.0
235,1083.52518364,9415.49577512,540.555555556,189.0
236,1083.52518364,9453.87412652,535.0,189.0
237,1083.52518364,9491.24462756,529.444444444,189.0
238,1093.03511198,9528.61205207,523.833333333,190.0
239,1102.58291292,9566.98983759,517.944444444,191.0
240,1102.58291292,9605.36693135,511.944444444,191.0
241,1102.58291292,9643.74022006,505.888888889,191.0
242,1112.24682628,9684.08648996,500.277777778,192.0
243,1112.24682628,9720.40451833,495.0,192.0
244,1112.24682628,9758.70590806,490.0,192.0
245,1122.07574225,9899.12602203,485.0,193.0
246,1122.07574225,9937.41420089,480.0,193.0
247,1122.07574225,9917.6315721,475.0,193.0
248,1132.01352838,9957.94069643,469.444444444,194.0
249,1132.01352838,9997.26893818,463.333333333,194.0
250,1132.01352838,10038.6182593,456.666666667,194.0
251,1132.01352838,10080.9364987,450.555555556,194.0
252,1142.11512035,10122.247435,444.444444444,195.0
253,1142.11512035,10337.7112017,438.333333333,195.0
254,1142.11512035,10504.1573025,431.101339366,195.0
255,1142.11512035,10744.7727768,420.555555556,195.0
256,1142.11512035,10988.3743678,409.444444444,195.0
257,1142.11512035,11025.7865415,398.898660634,195.0
258,1153.14304764,11030.068046,391.111111111,196.0
259,1153.14304764,11114.3914163,383.333333333,196.0
260,1153.14304764,11257.737518,375.555555556,196.0
261,1164.4219066,11299.9803977,368.888888889,197.0
262,1164.4219066,11342.1820162,363.333333333,197.0
263,1164.4219066,11384.3794324,357.777777778,197.0
264,1164.4219066,11427.5902777,351.666666667,197.0
265,1164.4219066,11471.7967363,345.555555556,197.0
266,1164.4219066,11514.9979361,339.444444444,197.0
267,1175.95900298,11559.1948201,333.333333333,198.0
268,1175.95900298,11591.3978833,326.666666667,198.0
269,1175.95900298,11635.5852511,320.555555556,198.0
270,1175.95900298,11680.7534004,315.0,198.0
271,1187.65432835,11709.8973522,310.0,199.0
272,1187.65432835,11716.0162087,305.555555556,199.0
273,1187.65432835,11763.11824,302.222222222,199.0
274,1187.65432835,11809.2041233,299.444444444,199.0
275,1187.65432835,11855.3025777,296.111111111,199.0
276,1187.65432835,11855.4264082,291.111111111,199.0
277,1199.51082261,11857.5621029,285.555555556,200.0
278,1199.51082261,11863.6962621,280.0,200.0
279,1199.51082261,11871.8024805,275.555555556,200.0
280,1199.51082261,11875.9058503,271.111111111,200.0
281,1199.51082261,11877.006731,266.666666667,200.0
282,1199.51082261,11913.1388386,261.111111111,200.0
283,1199.51082261,11921.2492256,256.111111111,200.0
284,1199.51082261,11928.345438,251.666666667,200.0
285,1199.51082261,11944.4187617,248.333333333,200.0
286,1199.51082261,11953.5008643,244.444444444,200.0
287,1199.51082261,11961.5925361,240.0,200.0
288,1211.47696565,11970.6935472,235.0,201.0
289,1211.47696565,11980.792503,230.0,201.0
290,1211.47696565,11987.8886798,225.0,201.0
291,1211.47696565,12027.9881942,220.0,201.0
292,1211.47696565,12066.0747471,215.555555556,201.0
293,1211.47696565,12136.1543012,211.666666667,201.0
294,1211.47696565,12158.2152153,208.333333333,201.0
295,1211.47696565,12249.2847138,205.0,201.0
296,1211.47696565,12279.3441012,201.666666667,201.0
297,1211.47696565,12321.4038522,198.333333333,201.0
298,1211.47696565,12372.4721603,194.444444444,201.0
299,1211.47696565,12422.5385723,190.555555556,201.0
300,1211.47696565,12473.6033509,186.666666667,201.0
301,1211.47696565,12525.6583815,183.333333333,201.0
302,1211.47696565,12576.7119709,180.0,201.0
303,1211.47696565,12629.7644431,176.666666667,201.0
304,1211.47696565,12682.8156005,173.333333333,201.0
305,1211.47696565,12734.8653703,170.0,201.0
306,1211.47696565,12787.9139512,166.666666667,201.0
307,1211.47696565,12637.9445806,163.333333333,201.0
308,1211.47696565,12792.9994919,160.0,201.0
309,1211.47696565,12945.0520105,156.666666667,201.0
310,1211.47696565,13000.0892001,153.888888889,201.0
311,1224.52057466,13087.1288238,151.007118149,202.0
312,1224.52057466,13110.2465704,140.555555556,202.0
313,1224.52057466,13165.3691044,128.888888889,202.0
314,1224.52057466,13222.4794785,117.326215185,202.0
315,1224.52057466,13277.5210477,112.777777778,202.0
316,1224.52057466,13332.5553518,108.888888889,202.0
317,1224.52057466,13388.5926205,104.444444444,202.0
318,1224.52057466,13424.6234055,100.555555556,202.0
319,1224.52057466,13499.6578718,96.1111111111,202.0
320,1224.52057466,13555.6900681,91.6666666667,202.0
321,1210.93586756,13613.7241374,86.6666666667,201.0
322,1210.93586756,13670.757312,81.4586807419,201.0
323,1210.93586756,13727.7920788,75.5555555556,201.0
324,1210.93586756,13784.8222694,70.0,201.0
325,1210.93586756,13842.8437886,65.7635414803,201.0
326,1210.93586756,13901.8582553,62.7777777778,201.0
327,1210.93586756,13959.8710596,60.0,201.0
328,1210.93586756,14018.8832158,57.2222222222,201.0
329,1210.93586756,14077.8925625,55.0,201.0
330,1210.93586756,14136.8993968,53.3333333333,201.0
331,1210.93586756,14195.9079898,51.1111111111,201.0
332,1210.93586756,14255.9161711,48.8888888889,201.0
333,1210.93586756,14317.9239494,46.6666666667,201.0
334,1210.93586756,14380.9278453,45.5555555556,201.0
335,1210.93586756,14441.9316122,44.4444444444,201.0
336,1210.93586756,14502.9369116,42.7777777778,201.0
337,1210.93586756,14564.9465888,39.4444444444,201.0
338,1210.93586756,14626.9567854,35.5555555556,201.0
339,1210.93586756,14698.9646822,32.2222222222,201.0
340,1210.93586756,14749.9694915,30.0,201.0
341,1210.93586756,14814.9729066,28.3333333333,201.0
342,1210.93586756,14877.9761019,26.6666666667,201.0
343,1210.93586756,14942.9790872,25.0,201.0
344,1210.93586756,15005.9818591,23.3333333333,201.0
345,1210.93586756,15072.9844276,21.6666666667,201.0
346,1210.93586756,15134.9867856,20.0,201.0
347,1210.93586756,15198.988943,18.3333333333,201.0
348,1210.93586756,15266.9909027,16.6666666667,201.0
349,1210.93586756,15333.9921098,15.5555555556,201.0
350,1195.56887489,15399.9932259,14.4444444444,200.0
351,1195.56887489,15463.9942519,13.3333333333,200.0
352,1195.56887489,15530.9956181,11.6666666667,200.0
353,1195.56887489,15601.9964293,10.5555555556,200.0
354,1195.56887489,15669.9968092,10.0,200.0
355,1195.56887489,15733.9968222,10.0,200.0
356,1195.56887489,15802.996836,10.0,200.0
357,1195.56887489,15871.9968498,10.0,200.0
358,1195.56887489,15942.9968638,10.0,200.0
359,1195.56887489,16012.9972148,9.44444444444,200.0
360,1195.56887489,16083.9978412,8.33333333333,200.0
361,1195.56887489,16152.9986243,6.66666666667,200.0
362,1195.56887489,16223.9990488,5.55555555556,200.0
363,1195.56887489,16296.999233,5.0,200.0
364,1195.56887489,16368.9992364,5.0,200.0
365,1195.56887489,16440.9993993,4.44444444444,200.0
366,1195.56887489,16513.9996636,3.33333333333,200.0
367,1195.56887489,16597.9999163,1.66666666667,200.0
368,1178.93837494,16662.9999907,0.555555555556,199.0
369,1178.93837494,16734.9999908,-0.555555555556,199.0
370,1178.93837494,16808.9999174,-1.66666666667,199.0
371,1178.93837494,16867.9996706,-3.33333333333,199.0
372,1178.93837494,16959.9994177,-4.44444444444,199.0
373,1178.93837494,17037.9992663,-5.0,199.0
374,1178.93837494,17111.9992695,-5.0,199.0
375,1178.93837494,17189.9991023,-5.55555555556,199.0
376,1178.93837494,17269.9987132,-6.66666666667,199.0
377,1178.93837494,17348.9979986,-8.33333333333,199.0
378,1178.93837494,17427.997441,-9.44444444444,199.0
379,1178.93837494,17505.9971438,-10.0,199.0
380,1178.93837494,17584.9971567,-10.0,199.0
381,1178.93837494,17665.9971697,-10.0,199.0
382,1178.93837494,17744.9971823,-10.0,199.0
383,1178.93837494,17830.9971959,-10.0,199.0
384,1178.93837494,17916.9972094,-10.0,199.0
385,1178.93837494,17998.9972221,-10.0,199.0
386,1178.93837494,18165.9969333,-10.5555555556,199.0
387,1178.93837494,18250.9962711,-11.6666666667,199.0
388,1178.93837494,18335.9951522,-13.3333333333,199.0
389,1178.93837494,18423.9943378,-14.4444444444,199.0
390,1160.47038081,18511.9939229,-15.0,198.0
391,1160.47038081,18599.9939516,-15.0,198.0
392,1160.47038081,18698.9939836,-15.0,198.0
393,1160.47038081,18779.9940096,-15.0,198.0
394,1160.47038081,18871.9940388,-15.0,198.0
395,1160.47038081,18960.9940668,-15.0,198.0
396,1160.47038081,19052.9940954,-15.0,198.0
397,1160.47038081,19146.9941244,-15.0,198.0
398,1160.47038081,19238.9941525,-15.0,198.0
399,1160.47038081,19331.9941806,-15.0,198.0
400,1160.47038081,19421.9946287,-14.4444444444,198.0
401,1160.47038081,19517.9954458,-13.3333333333,198.0
402,1160.47038081,19609.9965295,-11.6666666667,198.0
403,1160.47038081,19702.9971725,-10.5555555556,198.0
404,1160.47038081,19800.9974749,-10.0,198.0
405,1160.47038081,19894.9974868,-10.0,198.0
406,1160.47038081,19994.9974994,-10.0,198.0
407,1160.47038081,20502.9975613,-10.0,198.0
408,1160.47038081,20602.9975732,-10.0,198.0
409,1160.47038081,20705.9973095,-10.5555555556,198.0
410,1160.47038081,20811.99673,-11.6666666667,198.0
411,1160.47038081,20918.9957508,-13.3333333333,198.0
412,1160.47038081,21024.9950382,-14.4444444444,198.0
413,1160.47038081,21132.9946766,-15.0,198.0
414,1160.47038081,21349.9947307,-15.0,198.0
415,1160.47038081,21560.9947822,-15.0,198.0
416,1160.47038081,21667.994808,-15.0,198.0
417,1160.47038081,21775.9948338,-15.0,198.0
418,1160.47038081,21884.9948595,-15.0,198.0
419,1160.47038081,21998.9952579,-14.4444444444,198.0
420,1160.47038081,22114.9959806,-13.3333333333,198.0
421,1160.47038081,22224.9969379,-11.6666666667,198.0
422,1160.47038081,22335.9975058,-10.5555555556,198.0
423,1160.47038081,22450.9977729,-10.0,198.0
424,1160.47038081,22565.9977843,-10.0,198.0
425,1160.47038081,22682.9977957,-10.0,198.0
426,1160.47038081,22800.9978071,-10.0,198.0
427,1160.47038081,22921.9978187,-10.0,198.0
428,1160.47038081,23043.9978302,-10.0,198.0
429,1160.47038081,23165.9978417,-10.0,198.0
430,1160.47038081,23287.997853,-10.0,198.0
431,1160.47038081,23416.9978648,-10.0,198.0
432,1160.47038081,23540.997876,-10.0,198.0
433,1160.47038081,23666.9978874,-10.0,198.0
434,1160.47038081,23794.9978987,-10.0,198.0
435,1160.47038081,23919.9979097,-10.0,198.0
436,1160.47038081,24160.9979305,-10.0,198.0
437,1136.23038287,24318.997944,-10.0,197.0
438,1136.23038287,24452.9979553,-10.0,197.0
439,1136.23038287,24590.9979667,-10.0,197.0
440,1136.23038287,24726.9979779,-10.0,197.0
441,1136.23038287,24858.9979887,-10.0,197.0
442,1136.23038287,24994.9979996,-10.0,197.0
443,1136.23038287,25134.9980107,-10.0,197.0
444,1136.23038287,25274.9980218,-10.0,197.0
445,1136.23038287,25412.9980325,-10.0,197.0
446,1136.23038287,25556.9982549,-9.44444444444,197.0
447,1136.23038287,25699.9986489,-8.33333333333,197.0
448,1136.23038287,25843.9992775,-6.11111111111,197.0
449,1136.23038287,25998.9997092,-3.88888888889,197.0
450,1136.23038287,26138.9999469,-1.66666666667,197.0
451,1136.23038287,26289.9999941,-0.555555555556,197.0
452,1136.23038287,26446.0,0.0,197.0
453,1136.23038287,26598.0,0.0,197.0
454,1136.23038287,26738.0,0.0,197.0
455,1136.23038287,26876.0,0.0,197.0
456,1136.23038287,26969.0,0.0,197.0
457,1163.21438287,26999.0,0.0,198.0
458,1163.21438287,27008.0,0.0,198.0
459,1163.21438287,27011.0,0.0,198.0
460,1163.21438287,27012.0,0.0,198.0
461,1163.21438287,27012.0,0.0,198.0
462,1163.21438287,27012.0,0.0,198.0
463,1163.21438287,27012.0,0.0,198.0
464,1163.21438287,27012.0,0.0,198.0
465,1163.21438287,27012.0,0.0,198.0
466,1163.21438287,27011.9999943,0.555555555556,198.0
467,1163.21438287,27011.9999486,1.66666666667,198.0
468,1163.21438287,27011.9997943,3.33333333333,198.0
469,1163.21438287,27011.9996344,4.44444444444,198.0
470,1163.21438287,27010.9995372,5.0,198.0
471,1163.21438287,27010.9995372,5.0,198.0
472,1163.21438287,27010.9995372,5.0,198.0
473,1163.21438287,27010.9995372,5.0,198.0
474,1163.21438287,27010.9995372,5.0,198.0
475,1163.21438287,27010.9995372,5.0,198.0
476,1163.21438287,27010.9995372,5.0,198.0
477,1163.21438287,27010.9995372,5.0,198.0
478,1163.21438287,27010.9995372,5.0,198.0
479,1163.21438287,27010.9995372,5.0,198.0
480,1163.21438287,27010.9995372,5.0,198.0
481,1163.21438287,27010.9995372,5.0,198.0
482,1163.21438287,27009.9995372,5.0,198.0
483,1163.21438287,27009.9995372,5.0,198.0
484,1163.21438287,27009.9995372,5.0,198.0
485,1163.21438287,27009.9995372,5.0,198.0
486,1163.21438287,27009.9995372,5.0,198.0
487,1163.21438287,27009.9995372,5.0,198.0
488,1163.21438287,27009.9994287,5.55555555556,198.0
489,1163.21438287,27009.9991773,6.66666666667,198.0
490,1163.21438287,27009.9987145,8.33333333333,198.0
491,1163.21438287,27009.9983488,9.44444444444,198.0
492,1163.21438287,27009.9981488,10.0,198.0
493,1163.21438287,27008.9981488,10.0,198.0
494,1163.21438287,27008.9981488,10.0,198.0
495,1163.21438287,27008.9981488,10.0,198.0
496,1163.21438287,27008.9981488,10.0,198.0
497,1163.21438287,27008.9981488,10.0,198.0
498,1163.21438287,27008.9981488,10.0,198.0
499,1163.21438287,27008.9979374,10.5555555556,198.0
500,1163.21438287,27008.9974803,11.6666666667,198.0
501,1163.21438287,27008.9967089,13.3333333333,198.0
502,1190.22287929,27007.9961374,14.4444444444,199.0
503,1190.22287929,27006.9958344,15.0,199.0
504,1190.22287929,27006.9958344,15.0,199.0
505,1190.22287929,27006.9958344,15.0,199.0
506,1190.22287929,27006.9958344,15.0,199.0
507,1190.22287929,27006.9958344,15.0,199.0
508,1190.22287929,27006.9958344,15.0,199.0
509,1190.22287929,27006.9958344,15.0,199.0
510,1190.22287929,27006.9958344,15.0,199.0
511,1190.22287929,27006.9958344,15.0,199.0
512,1190.22287929,27006.9958344,15.0,199.0
513,1190.22287929,27006.9958344,15.0,199.0
514,1190.22287929,27006.9958344,15.0,199.0
515,1190.22287929,27006.9958344,15.0,199.0
516,1190.22287929,27005.9958343,15.0,199.0
517,1190.22287929,27005.9958343,15.0,199.0
518,1190.22287929,27005.9958343,15.0,199.0
519,1190.22287929,27005.9958343,15.0,199.0
520,1190.22287929,27005.9958343,15.0,199.0
521,1190.22287929,27005.9958343,15.0,199.0
522,1190.22287929,27005.9958343,15.0,199.0
523,1190.22287929,27005.9958343,15.0,199.0
524,1190.22287929,27005.9958343,15.0,199.0
525,1190.22287929,27005.9958343,15.0,199.0
526,1190.22287929,27005.9958343,15.0,199.0
527,1190.22287929,27005.9958343,15.0,199.0
528,1190.22287929,27004.9958341,15.0,199.0
529,1190.22287929,27004.9958341,15.0,199.0
530,1190.22287929,27004.9958341,15.0,199.0
531,1190.22287929,27004.9958341,15.0,199.0
532,1190.22287929,27004.9958341,15.0,199.0
533,1190.22287929,27004.9958341,15.0,199.0
534,1190.22287929,27004.9958341,15.0,199.0
535,1190.22287929,27004.9958341,15.0,199.0
536,1190.22287929,27004.9958341,15.0,199.0
537,1190.22287929,27004.9958341,15.0,199.0
538,1190.22287929,27004.9958341,15.0,199.0
539,1190.22287929,27003.995834,15.0,199.0
540,1190.22287929,27003.995834,15.0,199.0
541,1190.22287929,27003.995834,15.0,199.0
542,1190.22287929,27003.995834,15.0,199.0
543,1190.22287929,27003.995834,15.0,199.0
544,1190.22287929,27003.995834,15.0,199.0
545,1190.22287929,27003.995834,15.0,199.0
546,1190.22287929,27003.995834,15.0,199.0
547,1190.22287929,27003.995834,15.0,199.0
548,1217.22687513,27003.995834,15.0,200.0
549,1217.22687513,27003.995834,15.0,200.0
550,1217.22687513,27003.995834,15.0,200.0
551,1217.22687513,27003.995834,15.0,200.0
552,1217.22687513,27002.9958338,15.0,200.0
553,1217.22687513,27002.9958338,15.0,200.0
554,1217.22687513,27002.9958338,15.0,200.0
555,1217.22687513,27002.9958338,15.0,200.0
556,1217.22687513,27002.9958338,15.0,200.0
557,1217.22687513,27002.9958338,15.0,200.0
558,1217.22687513,27002.9958338,15.0,200.0
559,1217.22687513,27002.9958338,15.0,200.0
