time,acceleration,speed
16.0,0.0,208.0
18.0,5.277777777777775,246.0
19.0,5.0,264.0
20.0,5.0,282.0
22.0,2.5,300.0
23.0,5.0,318.0
24.0,5.277777777777786,337.0
25.0,5.2777777777777715,356.0
26.0,5.555555555555557,376.0
27.0,5.2777777777777715,395.0
28.0,5.833333333333343,416.0
29.0,5.555555555555557,436.0
29.0,5.555555555555543,456.0
30.0,5.555555555555571,476.0
31.0,5.833333333333314,497.0
32.0,5.833333333333343,518.0
33.0,6.388888888888886,541.0
34.0,6.111111111111114,563.0
35.0,6.388888888888886,586.0
36.0,6.111111111111114,608.0
37.0,6.388888888888886,631.0
38.0,6.666666666666657,655.0
39.0,6.666666666666686,679.0
40.0,6.666666666666657,703.0
41.0,6.944444444444457,728.0
42.0,7.2222222222222,754.0
43.0,5.833333333333343,775.0
44.0,4.444444444444457,791.0
45.0,3.611111111111086,804.0
46.0,3.333333333333343,816.0
48.0,3.3333333333333286,840.0
50.0,3.4722222222222285,865.0
51.0,3.6111111111111143,878.0
53.0,3.6111111111111143,904.0
54.0,3.8888888888888857,918.0
55.0,3.8888888888888573,932.0
57.0,4.166666666666686,962.0
59.0,4.166666666666657,992.0
60.0,4.444444444444457,1008.0
61.0,4.7222222222222285,1025.0
62.0,4.444444444444457,1041.0
63.0,4.4444444444444,1057.0
64.0,5.0,1075.0
65.0,4.7222222222222285,1092.0
66.0,5.0,1110.0
67.0,5.0,1128.0
68.0,5.2777777777777715,1147.0
63.0,-1.0,1165.0
70.0,0.9126984126984163,1188.0
71.0,7.5,1215.0
72.0,8.611111111111086,1246.0
74.0,9.861111111111114,1317.0
75.0,10.0,1353.0
76.0,10.555555555555543,1391.0
77.0,10.277777777777771,1428.0
78.0,10.833333333333371,1467.0
73.0,-2.166666666666663,1506.0
80.0,1.547619047619045,1545.0
81.0,11.111111111111143,1585.0
82.0,11.388888888888857,1626.0
83.0,11.111111111111143,1666.0
84.0,11.666666666666686,1708.0
85.0,11.666666666666629,1750.0
87.0,11.805555555555571,1835.0
88.0,12.777777777777771,1881.0
90.0,6.25,1926.0
91.0,13.333333333333371,1974.0
92.0,12.777777777777715,2020.0
93.0,13.888888888888914,2070.0
93.0,13.055555555555543,2117.0
94.0,13.611111111111086,2166.0
95.0,13.888888888888914,2216.0
96.0,13.888888888888914,2266.0
102.0,14.768518518518514,2585.0
103.0,15.555555555555543,2641.0
104.0,15.555555555555543,2697.0
105.0,16.111111111111086,2755.0
107.0,15.972222222222229,2870.0
109.0,17.22222222222223,2994.0
110.0,16.944444444444457,3055.0
111.0,17.77777777777783,3119.0
112.0,17.777777777777715,3183.0
113.0,17.5,3246.0
115.0,18.75,3381.0
116.0,19.444444444444457,3451.0
117.0,19.444444444444457,3521.0
118.0,19.72222222222217,3592.0
119.0,19.722222222222285,3663.0
120.0,19.72222222222217,3734.0
121.0,20.27777777777783,3807.0
122.0,20.833333333333258,3882.0
123.0,20.833333333333485,3957.0
124.0,21.388888888888687,4034.0
125.0,21.94444444444457,4113.0
126.0,21.944444444444343,4192.0
127.0,21.94444444444457,4271.0
128.0,22.5,4352.0
129.0,23.05555555555543,4435.0
130.0,23.333333333333485,4519.0
131.0,23.888888888888914,4605.0
132.0,24.166666666666515,4692.0
133.0,24.72222222222217,4781.0
135.0,25.138888888888914,4962.0
136.0,23.888888888888914,5048.0
137.0,23.333333333333258,5132.0
138.0,22.5,5213.0
139.0,23.333333333333485,5297.0
140.0,22.22222222222217,5377.0
141.0,23.611111111111086,5462.0
142.0,23.333333333333258,5546.0
143.0,23.611111111111086,5631.0
144.0,23.611111111111313,5716.0
145.0,51.94444444444434,5903.0
146.0,19.444444444444343,5973.0
147.0,3.0555555555556566,5984.0
148.0,24.444444444444343,6072.0
149.0,26.666666666666742,6168.0
150.0,26.111111111111086,6262.0
151.0,26.666666666666742,6358.0
152.0,25.0,6448.0
153.0,25.55555555555543,6540.0
155.0,12.638888888888914,6631.0
156.0,25.0,6721.0
157.0,3.333333333333485,6733.0
158.0,2.2222222222221717,6741.0
160.0,2.5,6759.0
161.0,2.7777777777778283,6769.0
162.0,2.777777777777601,6779.0
162.0,2.5,6788.0
163.0,0.8333333333334849,6791.0
164.0,0.27777777777760093,6792.0
165.0,0.2777777777778283,6793.0
166.0,0.0,6793.0
167.0,0.0,6793.0
168.0,0.2777777777778283,6794.0
169.0,0.2777777777778283,6795.0
170.0,0.2777777777778283,6796.0
171.0,0.27777777777760093,6797.0
172.0,0.2777777777778283,6798.0
173.0,0.0,6798.0
174.0,0.0,6798.0
175.0,0.0,6798.0
176.0,0.2777777777778283,6799.0
177.0,0.0,6799.0
178.0,0.5555555555554292,6801.0
179.0,0.2777777777778283,6802.0
180.0,0.2777777777778283,6803.0
181.0,0.2777777777778283,6804.0
182.0,0.2777777777778283,6805.0
183.0,0.27777777777760093,6806.0
184.0,0.2777777777778283,6807.0
185.0,0.5555555555556566,6809.0
186.0,1.1111111111110858,6813.0
187.0,0.2777777777778283,6814.0
188.0,3.0555555555554292,6825.0
189.0,3.0555555555556566,6836.0
193.0,0.48611111111108585,6843.0
194.0,3.611111111111086,6856.0
196.0,0.6944444444444571,6861.0
197.0,8.888888888888914,6893.0
200.0,3.7037037037036953,6933.0
201.0,3.888888888888914,6947.0
202.0,3.888888888888914,6961.0
203.0,3.888888888888914,6975.0
205.0,3.888888888888914,7003.0
206.0,4.166666666666515,7018.0
207.0,4.1666666666667425,7033.0
208.0,4.1666666666667425,7048.0
209.0,4.444444444444343,7064.0
