time,horizontal_speed,altitude
220,8833.94328083,179.0
221,8680.10704459,181.0
222,8714.72709011,182.0
223,8747.30047622,182.0
224,8949.31405037,185.0
225,8982.93986151,185.0
226,9017.52052155,185.0
227,9088.08402372,186.0
228,9123.52983438,187.0
229,9160.97243747,187.0
230,9197.40584652,187.0
231,9267.89177536,188.0
232,9304.306038,188.0
233,9340.71023286,189.0
234,9378.1095095,189.0
235,9415.49577512,189.0
236,9453.87412652,189.0
237,9491.24462756,189.0
238,9528.61205207,190.0
239,9566.98983759,191.0
240,9605.36693135,191.0
241,9643.74022006,191.0
242,9684.08648996,192.0
243,9720.40451833,192.0
244,9758.70590806,192.0
245,9899.12602203,193.0
246,9937.41420089,193.0
247,9917.6315721,193.0
248,9957.94069643,194.0
249,9997.26893818,194.0
250,10038.6182593,194.0
251,10080.9364987,194.0
252,10122.247435,195.0
253,10337.7112017,195.0
254,10504.1573025,195.0
255,10744.7727768,195.0
256,10988.3743678,195.0
257,11025.7865415,195.0
258,11030.068046,196.0
259,11114.3914163,196.0
260,11257.737518,196.0
261,11299.9803977,197.0
262,11342.1820162,197.0
263,11384.3794324,197.0
264,11427.5902777,197.0
265,11471.7967363,197.0
266,11514.9979361,197.0
267,11559.1948201,198.0
268,11591.3978833,198.0
269,11635.5852511,198.0
270,11680.7534004,198.0
271,11709.8973522,199.0
272,11716.0162087,199.0
273,11763.11824,199.0
274,11809.2041233,199.0
275,11855.3025777,199.0
276,11855.4264082,199.0
277,11857.5621029,200.0
278,11863.6962621,200.0
279,11871.8024805,200.0
280,11875.9058503,200.0
281,11877.006731,200.0
282,11913.1388386,200.0
283,11921.2492256,200.0
284,11928.345438,200.0
285,11944.4187617,200.0
286,11953.5008643,200.0
287,11961.5925361,200.0
288,11970.6935472,201.0
289,11980.792503,201.0
290,11987.8886798,201.0
291,12027.9881942,201.0
292,12066.0747471,201.0
293,12136.1543012,201.0
294,12158.2152153,201.0
295,12249.2847138,201.0
296,12279.3441012,201.0
297,12321.4038522,201.0
298,12372.4721603,201.0
299,12422.5385723,201.0
300,12473.6033509,201.0
301,12525.6583815,201.0
302,12576.7119709,201.0
303,12629.7644431,201.0
304,12682.8156005,201.0
305,12734.8653703,201.0
306,12787.9139512,201.0
307,12637.9445806,201.0
308,12792.9994919,201.0
309,12945.0520105,201.0
310,13000.0892001,201.0
311,13087.1288238,202.0
312,13110.2465704,202.0
313,13165.3691044,202.0
314,13222.4794785,202.0
315,13277.5210477,202.0
316,13332.5553518,202.0
317,13388.5926205,202.0
318,13424.6234055,202.0
319,13499.6578718,202.0
320,13555.6900681,202.0
321,13613.7241374,201.0
322,13670.757312,201.0
323,13727.7920788,201.0
324,13784.8222694,201.0
325,13842.8437886,201.0
326,13901.8582553,201.0
327,13959.8710596,201.0
328,14018.8832158,201.0
329,14077.8925625,201.0
330,14136.8993968,201.0
331,14195.9079898,201.0
332,14255.9161711,201.0
333,14317.9239494,201.0
334,14380.9278453,201.0
335,14441.9316122,201.0
336,14502.9369116,201.0
337,14564.9465888,201.0
338,14626.9567854,201.0
339,14698.9646822,201.0
340,14749.9694915,201.0
341,14814.9729066,201.0
342,14877.9761019,201.0
343,14942.9790872,201.0
344,15005.9818591,201.0
345,15072.9844276,201.0
346,15134.9867856,201.0
347,15198.988943,201.0
348,15266.9909027,201.0
349,15333.9921098,201.0
350,15399.9932259,200.0
351,15463.9942519,200.0
352,15530.9956181,200.0
353,15601.9964293,200.0
354,15669.9968092,200.0
355,15733.9968222,200.0
356,15802.996836,200.0
357,15871.9968498,200.0
358,15942.9968638,200.0
359,16012.9972148,200.0
360,16083.9978412,200.0
361,16152.9986243,200.0
362,16223.9990488,200.0
363,16296.999233,200.0
364,16368.9992364,200.0
365,16440.9993993,200.0
366,16513.9996636,200.0
367,16597.9999163,200.0
368,16662.9999907,199.0
369,16734.9999908,199.0
370,16808.9999174,199.0
371,16867.9996706,199.0
372,16959.9994177,199.0
373,17037.9992663,199.0
374,17111.9992695,199.0
375,17189.9991023,199.0
376,17269.9987132,199.0
377,17348.9979986,199.0
378,17427.997441,199.0
379,17505.9971438,199.0
380,17584.9971567,199.0
381,17665.9971697,199.0
382,17744.9971823,199.0
383,17830.9971959,199.0
384,17916.9972094,199.0
385,17998.9972221,199.0
386,18165.9969333,199.0
387,18250.9962711,199.0
388,18335.9951522,199.0
389,18423.9943378,199.0
390,18511.9939229,198.0
391,18599.9939516,198.0
392,18698.9939836,198.0
393,18779.9940096,198.0
394,18871.9940388,198.0
395,18960.9940668,198.0
396,19052.9940954,198.0
397,19146.9941244,198.0
398,19238.9941525,198.0
399,19331.9941806,198.0
400,19421.9946287,198.0
401,19517.9954458,198.0
402,19609.9965295,198.0
403,19702.9971725,198.0
404,19800.9974749,198.0
405,19894.9974868,198.0
406,19994.9974994,198.0
407,20502.9975613,198.0
408,20602.9975732,198.0
409,20705.9973095,198.0
410,20811.99673,198.0
411,20918.9957508,198.0
412,21024.9950382,198.0
413,21132.9946766,198.0
414,21349.9947307,198.0
415,21560.9947822,198.0
416,21667.994808,198.0
417,21775.9948338,198.0
418,21884.9948595,198.0
419,21998.9952579,198.0
420,22114.9959806,198.0
421,22224.9969379,198.0
422,22335.9975058,198.0
423,22450.9977729,198.0
424,22565.9977843,198.0
425,22682.9977957,198.0
426,22800.9978071,198.0
427,22921.9978187,198.0
428,23043.9978302,198.0
429,23165.9978417,198.0
430,23287.997853,198.0
431,23416.9978648,198.0
432,23540.997876,198.0
433,23666.9978874,198.0
434,23794.9978987,198.0
435,23919.9979097,198.0
436,24160.9979305,198.0
437,24318.997944,197.0
438,24452.9979553,197.0
439,24590.9979667,197.0
440,24726.9979779,197.0
441,24858.9979887,197.0
442,24994.9979996,197.0
443,25134.9980107,197.0
444,25274.9980218,197.0
445,25412.9980325,197.0
446,25556.9982549,197.0
447,25699.9986489,197.0
448,25843.9992775,197.0
449,25998.9997092,197.0
450,26138.9999469,197.0
451,26289.9999941,197.0
452,26446.0,197.0
453,26598.0,197.0
454,26738.0,197.0
455,26876.0,197.0
456,26969.0,197.0
457,26999.0,198.0
458,27008.0,198.0
459,27011.0,198.0
460,27012.0,198.0
461,27012.0,198.0
462,27012.0,198.0
463,27012.0,198.0
464,27012.0,198.0
465,27012.0,198.0
466,27011.9999943,198.0
467,27011.9999486,198.0
468,27011.9997943,198.0
469,27011.9996344,198.0
470,27010.9995372,198.0
471,27010.9995372,198.0
472,27010.9995372,198.0
473,27010.9995372,198.0
474,27010.9995372,198.0
475,27010.9995372,198.0
476,27010.9995372,198.0
477,27010.9995372,198.0
478,27010.9995372,198.0
479,27010.9995372,198.0
480,27010.9995372,198.0
481,27010.9995372,198.0
482,27009.9995372,198.0
483,27009.9995372,198.0
484,27009.9995372,198.0
485,27009.9995372,198.0
486,27009.9995372,198.0
487,27009.9995372,198.0
488,27009.9994287,198.0
489,27009.9991773,198.0
490,27009.9987145,198.0
491,27009.9983488,198.0
492,27009.9981488,198.0
493,27008.9981488,198.0
494,27008.9981488,198.0
495,27008.9981488,198.0
496,27008.9981488,198.0
497,27008.9981488,198.0
498,27008.9981488,198.0
499,27008.9979374,198.0
500,27008.9974803,198.0
501,27008.9967089,198.0
502,27007.9961374,199.0
503,27006.9958344,199.0
504,27006.9958344,199.0
505,27006.9958344,199.0
506,27006.9958344,199.0
507,27006.9958344,199.0
508,27006.9958344,199.0
509,27006.9958344,199.0
510,27006.9958344,199.0
511,27006.9958344,199.0
512,27006.9958344,199.0
513,27006.9958344,199.0
514,27006.9958344,199.0
515,27006.9958344,199.0
516,27005.9958343,199.0
517,27005.9958343,199.0
518,27005.9958343,199.0
519,27005.9958343,199.0
520,27005.9958343,199.0
521,27005.9958343,199.0
522,27005.9958343,199.0
523,27005.9958343,199.0
524,27005.9958343,199.0
525,27005.9958343,199.0
526,27005.9958343,199.0
527,27005.9958343,199.0
528,27004.9958341,199.0
529,27004.9958341,199.0
530,27004.9958341,199.0
531,27004.9958341,199.0
532,27004.9958341,199.0
533,27004.9958341,199.0
534,27004.9958341,199.0
535,27004.9958341,199.0
536,27004.9958341,199.0
537,27004.9958341,199.0
538,27004.9958341,199.0
539,27003.995834,199.0
540,27003.995834,199.0
541,27003.995834,199.0
542,27003.995834,199.0
543,27003.995834,199.0
544,27003.995834,199.0
545,27003.995834,199.0
546,27003.995834,199.0
547,27003.995834,199.0
548,27003.995834,200.0
549,27003.995834,200.0
550,27003.995834,200.0
551,27003.995834,200.0
552,27002.9958338,200.0
553,27002.9958338,200.0
554,27002.9958338,200.0
555,27002.9958338,200.0
556,27002.9958338,200.0
557,27002.9958338,200.0
558,27002.9958338,200.0
559,27002.9958338,200.0
560,27002.9958338,200.0
561,27002.9958338,200.0
562,27002.9958338,200.0
563,27002.9958338,200.0
564,27001.9958336,200.0
565,27001.9958336,200.0
566,27001.9958336,200.0
567,27001.9958336,200.0
568,27001.9958336,200.0
569,27001.9958336,200.0
570,27001.9958336,200.0
571,27001.9958336,200.0
572,27001.9958336,200.0
573,27001.9958336,200.0
574,27001.9958336,200.0
575,27001.9958336,200.0
576,27000.9958335,200.0
577,27000.9958335,200.0
578,27000.9958335,200.0
579,27000.9958335,200.0
580,27000.9958335,200.0
581,27000.9958335,200.0
582,27000.9958335,200.0
583,27000.9958335,200.0
584,27000.9958335,200.0
585,27000.9958335,200.0
586,27000.9958335,200.0
587,27000.9958335,200.0
588,26999.9958333,200.0
589,26999.9958333,200.0
590,26999.9958333,200.0
591,26999.9958333,200.0
592,26999.9958333,200.0
593,26999.9958333,200.0
594,26999.9958333,200.0
595,26999.9958333,200.0
596,26999.9958333,200.0
597,26999.9958333,200.0
598,26999.9958333,200.0
599,26999.9958333,200.0
600,26999.9958333,200.0
601,26998.9958332,201.0
602,26998.9958332,201.0
603,26998.9958332,201.0
604,26998.9958332,201.0
605,26998.9958332,201.0
606,26998.9958332,201.0
607,26998.9958332,201.0
608,26998.9958332,201.0
609,26998.9958332,201.0
610,26997.995833,201.0
611,26997.995833,201.0
612,26997.995833,201.0
613,26997.995833,201.0
614,26997.995833,201.0
615,26996.9958329,201.0
616,26996.9958329,201.0
617,26996.9958329,201.0
618,26996.9958329,201.0
619,26995.9965334,201.0
620,26995.9974636,201.0
