time,downrange,altitude
222,1020.2664957,182.0
223,1020.2664957,182.0
224,1046.81141749,185.0
225,1046.81141749,185.0
226,1046.81141749,185.0
227,1055.86421976,186.0
228,1064.97002669,187.0
229,1064.97002669,187.0
230,1064.97002669,187.0
231,1074.2026755,188.0
232,1074.2026755,188.0
233,1083.52518364,189.0
234,1083.52518364,189.0
235,1083.52518364,189.0
236,1083.52518364,189.0
237,1083.52518364,189.0
238,1093.03511198,190.0
239,1102.58291292,191.0
240,1102.58291292,191.0
241,1102.58291292,191.0
242,1112.24682628,192.0
243,1112.24682628,192.0
244,1112.24682628,192.0
245,1122.07574225,193.0
246,1122.07574225,193.0
247,1122.07574225,193.0
248,1132.01352838,194.0
249,1132.01352838,194.0
250,1132.01352838,194.0
251,1132.01352838,194.0
252,1142.11512035,195.0
253,1142.11512035,195.0
254,1142.11512035,195.0
255,1142.11512035,195.0
256,1142.11512035,195.0
257,1142.11512035,195.0
258,1153.14304764,196.0
259,1153.14304764,196.0
260,1153.14304764,196.0
261,1164.4219066,197.0
262,1164.4219066,197.0
263,1164.4219066,197.0
264,1164.4219066,197.0
265,1164.4219066,197.0
266,1164.4219066,197.0
267,1175.95900298,198.0
268,1175.95900298,198.0
269,1175.95900298,198.0
270,1175.95900298,198.0
271,1187.65432835,199.0
272,1187.65432835,199.0
273,1187.65432835,199.0
274,1187.65432835,199.0
275,1187.65432835,199.0
276,1187.65432835,199.0
277,1199.51082261,200.0
278,1199.51082261,200.0
279,1199.51082261,200.0
280,1199.51082261,200.0
281,1199.51082261,200.0
282,1199.51082261,200.0
283,1199.51082261,200.0
284,1199.51082261,200.0
285,1199.51082261,200.0
286,1199.51082261,200.0
287,1199.51082261,200.0
288,1211.47696565,201.0
289,1211.47696565,201.0
290,1211.47696565,201.0
291,1211.47696565,201.0
292,1211.47696565,201.0
293,1211.47696565,201.0
294,1211.47696565,201.0
295,1211.47696565,201.0
296,1211.47696565,201.0
297,1211.47696565,201.0
298,1211.47696565,201.0
299,1211.47696565,201.0
300,1211.47696565,201.0
301,1211.47696565,201.0
302,1211.47696565,201.0
303,1211.47696565,201.0
304,1211.47696565,201.0
305,1211.47696565,201.0
306,1211.47696565,201.0
307,1211.47696565,201.0
308,1211.47696565,201.0
309,1211.47696565,201.0
310,1211.47696565,201.0
311,1224.52057466,202.0
312,1224.52057466,202.0
313,1224.52057466,202.0
314,1224.52057466,202.0
315,1224.52057466,202.0
316,1224.52057466,202.0
317,1224.52057466,202.0
318,1224.52057466,202.0
319,1224.52057466,202.0
320,1224.52057466,202.0
321,1210.93586756,201.0
322,1210.93586756,201.0
323,1210.93586756,201.0
324,1210.93586756,201.0
325,1210.93586756,201.0
326,1210.93586756,201.0
327,1210.93586756,201.0
328,1210.93586756,201.0
329,1210.93586756,201.0
330,1210.93586756,201.0
331,1210.93586756,201.0
332,1210.93586756,201.0
333,1210.93586756,201.0
334,1210.93586756,201.0
335,1210.93586756,201.0
336,1210.93586756,201.0
337,1210.93586756,201.0
338,1210.93586756,201.0
339,1210.93586756,201.0
340,1210.93586756,201.0
341,1210.93586756,201.0
342,1210.93586756,201.0
343,1210.93586756,201.0
344,1210.93586756,201.0
345,1210.93586756,201.0
346,1210.93586756,201.0
347,1210.93586756,201.0
348,1210.93586756,201.0
349,1210.93586756,201.0
350,1195.56887489,200.0
351,1195.56887489,200.0
352,1195.56887489,200.0
353,1195.56887489,200.0
354,1195.56887489,200.0
355,1195.56887489,200.0
356,1195.56887489,200.0
357,1195.56887489,200.0
358,1195.56887489,200.0
359,1195.56887489,200.0
360,1195.56887489,200.0
361,1195.56887489,200.0
362,1195.56887489,200.0
363,1195.56887489,200.0
364,1195.56887489,200.0
365,1195.56887489,200.0
366,1195.56887489,200.0
367,1195.56887489,200.0
368,1178.93837494,199.0
369,1178.93837494,199.0
370,1178.93837494,199.0
371,1178.93837494,199.0
372,1178.93837494,199.0
373,1178.93837494,199.0
374,1178.93837494,199.0
375,1178.93837494,199.0
376,1178.93837494,199.0
377,1178.93837494,199.0
378,1178.93837494,199.0
379,1178.93837494,199.0
380,1178.93837494,199.0
381,1178.93837494,199.0
382,1178.93837494,199.0
383,1178.93837494,199.0
384,1178.93837494,199.0
385,1178.93837494,199.0
386,1178.93837494,199.0
387,1178.93837494,199.0
388,1178.93837494,199.0
389,1178.93837494,199.0
390,1160.47038081,198.0
391,1160.47038081,198.0
392,1160.47038081,198.0
393,1160.47038081,198.0
394,1160.47038081,198.0
