time,acceleration,speed
5.0,0.0,34.0
6.0,3.6111111111111107,47.0
7.0,3.8888888888888875,61.0
8.0,3.8888888888888893,75.0
10.0,4.305555555555555,106.0
12.0,4.444444444444446,138.0
13.0,4.444444444444443,154.0
14.0,4.722222222222221,171.0
19.0,4.722222222222223,256.0
21.0,5.277777777777779,294.0
22.0,5.2777777777777715,313.0
23.0,5.2777777777777715,332.0
24.0,5.555555555555557,352.0
27.0,5.462962962962962,411.0
28.0,5.555555555555557,431.0
29.0,5.833333333333343,452.0
30.0,5.555555555555557,472.0
31.0,5.833333333333314,493.0
32.0,6.111111111111114,515.0
33.0,6.111111111111114,537.0
34.0,6.388888888888886,560.0
36.0,6.527777777777786,607.0
37.0,6.666666666666657,631.0
38.0,6.666666666666657,655.0
39.0,6.944444444444457,680.0
40.0,6.666666666666657,704.0
41.0,6.666666666666686,728.0
42.0,6.944444444444429,753.0
43.0,5.555555555555571,773.0
44.0,4.444444444444429,789.0
47.0,3.6111111111111143,828.0
48.0,3.6111111111111143,841.0
50.0,3.75,868.0
51.0,3.6111111111111143,881.0
52.0,3.8888888888888857,895.0
53.0,4.166666666666657,910.0
54.0,4.444444444444457,926.0
55.0,5.555555555555543,946.0
56.0,7.2222222222222285,972.0
57.0,7.7777777777777715,1000.0
58.0,8.611111111111086,1031.0
59.0,8.888888888888914,1063.0
60.0,8.888888888888914,1095.0
62.0,9.166666666666657,1161.0
63.0,9.444444444444457,1195.0
64.0,9.166666666666629,1228.0
66.0,9.583333333333343,1297.0
67.0,9.722222222222229,1332.0
68.0,10.0,1368.0
69.0,10.277777777777771,1405.0
70.0,10.277777777777771,1442.0
71.0,10.555555555555543,1480.0
72.0,10.277777777777771,1517.0
74.0,10.972222222222229,1596.0
75.0,11.111111111111143,1636.0
76.0,11.666666666666629,1678.0
77.0,11.111111111111143,1718.0
78.0,12.222222222222229,1762.0
79.0,12.222222222222172,1806.0
80.0,11.944444444444457,1849.0
81.0,12.222222222222285,1893.0
82.0,12.222222222222172,1937.0
83.0,12.777777777777828,1983.0
84.0,13.055555555555543,2030.0
85.0,13.333333333333258,2078.0
87.0,14.166666666666686,2180.0
90.0,14.351851851851848,2335.0
91.0,15.277777777777828,2390.0
92.0,15.0,2444.0
93.0,15.555555555555543,2500.0
94.0,16.111111111111086,2558.0
95.0,16.66666666666663,2618.0
96.0,16.388888888888914,2677.0
97.0,16.944444444444457,2738.0
98.0,16.944444444444457,2799.0
99.0,17.22222222222217,2861.0
100.0,17.222222222222285,2923.0
