time,downrange,horizontal_velocity,vertical_velocity,altitude
294,1187.24937892,14262.9127767,176.111111111,164.0
295,1187.24937892,14315.9507039,173.333333333,164.0
296,1187.24937892,14370.9945376,170.0,164.0
297,1187.24937892,14425.0307704,167.222222222,164.0
298,1187.24937892,14481.0600095,165.0,164.0
299,1187.24937892,14539.0825784,163.333333333,164.0
300,1201.81747566,14597.11092,161.111111111,165.0
301,1201.81747566,14654.1386414,158.888888889,165.0
302,1201.81747566,14712.1717745,156.111111111,165.0
303,1201.81747566,14769.1982927,153.888888889,165.0
304,1201.81747566,14827.2299986,151.111111111,165.0
305,1201.81747566,14886.2554425,148.888888889,165.0
306,1201.81747566,14947.2804513,146.666666667,165.0
307,1216.79326558,15004.2993838,145.0,166.0
308,1216.79326558,15063.3180792,143.333333333,166.0
309,1216.79326558,15123.3416828,141.111111111,166.0
310,1216.79326558,15185.3648582,138.888888889,166.0
311,1216.79326558,15249.3925704,136.111111111,166.0
312,1216.79326558,15311.4146233,133.888888889,166.0
313,1216.79326558,15373.436177,131.666666667,166.0
314,1216.79326558,15434.4525332,130.0,166.0
315,1216.79326558,15496.4686156,128.333333333,166.0
316,1216.79326558,15559.4844245,126.666666667,166.0
317,1232.38525779,15624.499992,125.0,167.0
318,1232.38525779,15687.5151917,123.333333333,167.0
319,1232.38525779,15754.5344932,121.111111111,167.0
320,1232.38525779,15820.553291,118.888888889,167.0
321,1232.38525779,15886.5716216,116.666666667,167.0
322,1232.38525779,15950.5854438,115.0,167.0
323,1232.38525779,16014.598982,113.333333333,167.0
324,1232.38525779,16082.6123362,111.666666667,167.0
325,1232.38525779,16149.6253827,110.0,167.0
326,1232.38525779,16216.63815,108.333333333,167.0
327,1232.38525779,16279.6541865,106.111111111,167.0
328,1232.38525779,16343.6698174,103.888888889,167.0
329,1248.76393527,16413.6851404,101.666666667,168.0
330,1248.76393527,16482.6966544,100.0,168.0
331,1248.76393527,16552.7079221,98.3333333333,168.0
332,1248.76393527,16621.718911,96.6666666667,168.0
333,1248.76393527,16690.7296425,95.0,168.0
334,1248.76393527,16760.7401355,93.3333333333,168.0
335,1248.76393527,16831.7534073,91.1111111111,168.0
336,1248.76393527,16902.7662755,88.8888888889,168.0
337,1248.76393527,16971.7787191,86.6666666667,168.0
338,1248.76393527,17045.7852928,85.5555555556,168.0
339,1248.76393527,17119.7917375,84.4444444444,168.0
340,1248.76393527,17193.798055,83.3333333333,168.0
341,1248.76393527,17267.8068832,81.6666666667,168.0
342,1248.76393527,17340.8154653,80.0,168.0
343,1248.76393527,17414.823826,78.3333333333,168.0
344,1248.76393527,17488.8319571,76.6666666667,168.0
345,1248.76393527,17563.8398706,75.0,168.0
346,1248.76393527,17638.8475594,73.3333333333,168.0
347,1248.76393527,17715.8550426,71.6666666667,168.0
348,1248.76393527,17791.8601027,70.5555555556,168.0
349,1248.76393527,17869.8650658,69.4444444444,168.0
350,1266.67330276,17948.8699242,68.3333333333,169.0
351,1266.67330276,18026.8767277,66.6666666667,169.0
352,1266.67330276,18104.8833191,65.0,169.0
353,1266.67330276,18185.8897195,63.3333333333,169.0
354,1266.67330276,18265.8959053,61.6666666667,169.0
355,1266.67330276,18345.9000604,60.5555555556,169.0
356,1266.67330276,18426.9041176,59.4444444444,169.0
357,1266.67330276,18506.9080676,58.3333333333,169.0
358,1266.67330276,18588.9136285,56.6666666667,169.0
359,1266.67330276,18672.9173559,55.5555555556,169.0
360,1266.67330276,18756.9209841,54.4444444444,169.0
361,1266.67330276,18840.9245144,53.3333333333,169.0
362,1266.67330276,18925.9294767,51.6666666667,169.0
363,1266.67330276,19010.9327792,50.5555555556,169.0
364,1266.67330276,19093.9345343,50.0,169.0
365,1266.67330276,19176.9362581,49.4444444444,169.0
366,1266.67330276,19260.9393563,48.3333333333,169.0
367,1266.67330276,19349.9437266,46.6666666667,169.0
368,1266.67330276,19438.9466199,45.5555555556,169.0
369,1266.67330276,19528.948154,45.0,169.0
370,1266.67330276,19617.9483892,45.0,169.0
371,1266.67330276,19708.9486275,45.0,169.0
372,1266.67330276,19803.9488739,45.0,169.0
373,1266.67330276,19897.9491154,45.0,169.0
374,1266.67330276,19987.9505876,44.4444444444,169.0
375,1266.67330276,20606.9544383,43.3333333333,169.0
376,1266.67330276,20170.9569651,41.6666666667,169.0
377,1266.67330276,20264.9594188,40.5555555556,169.0
378,1266.67330276,20362.960713,40.0,169.0
379,1266.67330276,20461.9619816,39.4444444444,169.0
380,1266.67330276,20659.9644374,38.3333333333,169.0
381,1266.67330276,20754.9676115,36.6666666667,169.0
382,1266.67330276,20853.9696893,35.5555555556,169.0
383,1266.67330276,20952.9707679,35.0,169.0
384,1266.67330276,21061.9709192,35.0,169.0
385,1266.67330276,21163.9719708,34.4444444444,169.0
386,1266.67330276,21266.9738771,33.3333333333,169.0
387,1266.67330276,21370.9765388,31.6666666667,169.0
388,1266.67330276,21475.9782631,30.5555555556,169.0
389,1245.14432406,21581.9791493,30.0,168.0
390,1245.14432406,21688.9792521,30.0,168.0
391,1245.14432406,21794.9801107,29.4444444444,168.0
392,1245.14432406,21901.9816734,28.3333333333,168.0
393,1245.14432406,22009.9838457,26.6666666667,168.0
394,1245.14432406,22121.985239,25.5555555556,168.0
395,1245.14432406,22233.9859449,25.0,168.0
396,1245.14432406,22344.9860148,25.0,168.0
397,1245.14432406,22458.9860858,25.0,168.0
398,1245.14432406,22574.9867656,24.4444444444,168.0
399,1245.14432406,22690.9880031,23.3333333333,168.0
400,1245.14432406,22809.9897097,21.6666666667,168.0
401,1245.14432406,22928.9907861,20.5555555556,168.0
402,1245.14432406,23048.9913228,20.0,168.0
403,1245.14432406,23169.9913681,20.0,168.0
404,1245.14432406,23292.9914137,20.0,168.0
405,1245.14432406,23415.9919267,19.4444444444,168.0
406,1245.14432406,23540.9928612,18.3333333333,168.0
407,1245.14432406,23665.9941313,16.6666666667,168.0
408,1245.14432406,23791.9949148,15.5555555556,168.0
409,1245.14432406,23918.9949418,15.5555555556,168.0
410,1245.14432406,24051.9942255,16.6666666667,168.0
411,1245.14432406,24185.9930515,18.3333333333,168.0
412,1245.14432406,24319.9922268,19.4444444444,168.0
413,1245.14432406,24452.991821,20.0,168.0
414,1245.14432406,24587.9918659,20.0,168.0
415,1245.14432406,24723.9923539,19.4444444444,168.0
416,1245.14432406,24861.9932405,18.3333333333,168.0
417,1245.14432406,25003.9944453,16.6666666667,168.0
418,1245.14432406,25145.9951886,15.5555555556,168.0
419,1245.14432406,25289.9955516,15.0,168.0
420,1245.14432406,25434.995577,15.0,168.0
421,1245.14432406,25581.9956024,15.0,168.0
422,1245.14432406,25731.995628,15.0,168.0
423,1245.14432406,25883.9956537,15.0,168.0
424,1245.14432406,26041.9956801,15.0,168.0
425,1245.14432406,26194.9957053,15.0,168.0
426,1245.14432406,26349.9957305,15.0,168.0
427,1245.14432406,26504.9960641,14.4444444444,168.0
428,1245.14432406,26661.9966661,13.3333333333,168.0
429,1245.14432406,26821.9974627,11.6666666667,168.0
430,1245.14432406,26997.9979365,10.5555555556,168.0
431,1245.14432406,27127.9981569,10.0,168.0
432,1245.14432406,27289.9981678,10.0,168.0
433,1245.14432406,27386.9981743,10.0,168.0
434,1245.14432406,27415.9981762,10.0,168.0
435,1245.14432406,27424.9981768,10.0,168.0
436,1245.14432406,27427.998177,10.0,168.0
437,1245.14432406,27428.9981771,10.0,168.0
438,1245.14432406,27427.998177,10.0,168.0
439,1245.14432406,27427.998177,10.0,168.0
440,1245.14432406,27427.998177,10.0,168.0
441,1245.14432406,27427.998177,10.0,168.0
442,1245.14432406,27427.998177,10.0,168.0
443,1245.14432406,27427.998177,10.0,168.0
444,1245.14432406,27427.998177,10.0,168.0
445,1245.14432406,27427.998177,10.0,168.0
446,1245.14432406,27427.998177,10.0,168.0
447,1245.14432406,27427.998177,10.0,168.0
448,1245.14432406,27427.998177,10.0,168.0
449,1245.14432406,27427.998177,10.0,168.0
450,1245.14432406,27427.998177,10.0,168.0
451,1245.14432406,27427.998177,10.0,168.0
452,1245.14432406,27427.998177,10.0,168.0
453,1245.14432406,27427.998177,10.0,168.0
454,1245.14432406,27427.998177,10.0,168.0
455,1245.14432406,27426.998177,10.0,168.0
456,1245.14432406,27426.998177,10.0,168.0
457,1245.14432406,27426.998177,10.0,168.0
458,1245.14432406,27426.998177,10.0,168.0
459,1245.14432406,27426.998177,10.0,168.0
460,1245.14432406,27426.998177,10.0,168.0
461,1245.14432406,27426.998177,10.0,168.0
462,1245.14432406,27426.998177,10.0,168.0
463,1245.14432406,27426.998177,10.0,168.0
464,1245.14432406,27426.998177,10.0,168.0
465,1245.14432406,27426.998177,10.0,168.0
466,1245.14432406,27425.9981769,10.0,168.0
467,1245.14432406,27425.9981769,10.0,168.0
468,1245.14432406,27425.9981769,10.0,168.0
469,1245.14432406,27425.9981769,10.0,168.0
470,1245.14432406,27425.9981769,10.0,168.0
471,1245.14432406,27425.9981769,10.0,168.0
472,1272.57032223,27425.9981769,10.0,169.0
473,1272.57032223,27425.9981769,10.0,169.0
474,1272.57032223,27425.9981769,10.0,169.0
475,1272.57032223,27425.9981769,10.0,169.0
476,1272.57032223,27425.9981769,10.0,169.0
477,1272.57032223,27424.9981768,10.0,169.0
478,1272.57032223,27424.9981768,10.0,169.0
479,1272.57032223,27424.9981768,10.0,169.0
480,1272.57032223,27424.9981768,10.0,169.0
481,1272.57032223,27424.9981768,10.0,169.0
482,1272.57032223,27424.9981768,10.0,169.0
483,1272.57032223,27424.9981768,10.0,169.0
484,1272.57032223,27424.9981768,10.0,169.0
485,1272.57032223,27424.9981768,10.0,169.0
486,1272.57032223,27423.9981768,10.0,169.0
487,1272.57032223,27423.9981768,10.0,169.0
488,1272.57032223,27423.9981768,10.0,169.0
489,1272.57032223,27423.9981768,10.0,169.0
490,1272.57032223,27423.9981768,10.0,169.0
491,1272.57032223,27423.9981768,10.0,169.0
492,1272.57032223,27423.9981768,10.0,169.0
493,1272.57032223,27423.9981768,10.0,169.0
494,1272.57032223,27422.9981767,10.0,169.0
495,1272.57032223,27422.9981767,10.0,169.0
496,1272.57032223,27422.9981767,10.0,169.0
497,1272.57032223,27422.9981767,10.0,169.0
498,1272.57032223,27422.9981767,10.0,169.0
499,1272.57032223,27422.9981767,10.0,169.0
500,1272.57032223,27422.9981767,10.0,169.0
501,1272.57032223,27422.9981767,10.0,169.0
502,1272.57032223,27422.9981767,10.0,169.0
503,1272.57032223,27421.9981766,10.0,169.0
