time,altitude,speed
00:00:00,0.0,0
00:00:01,0.0,5
00:00:03,0.0,17
00:00:06,0.0,52
00:00:08,0.0,66
00:00:08,0.0,80
00:00:10,0.2,109
00:00:12,0.2,123
00:00:13,0.2,137
00:00:14,0.3,152
00:00:15,0.3,167
00:00:16,0.3,183
00:00:17,0.4,198
00:00:19,0.6,247
00:00:20,0.7,265
00:00:21,0.7,283
00:00:23,0.8,301
00:00:23,0.9,319
00:00:25,1.0,337
00:00:26,1.1,355
00:00:28,1.123,388
00:00:32,1.3,492
00:00:33,2.0,514
00:00:34,2.2,535
00:00:35,2.3,556
00:00:36,2.5,577
00:00:38,2.6,539
00:00:39,2.8,622
00:00:40,3.0,645
00:00:41,3.2,668
00:00:42,3.3,683
00:00:43,3.5,718
00:00:44,3.7,742
00:00:45,3.9,768
00:00:45,4.1,733
00:00:46,4,821
00:00:47,4.6,847
00:00:48,4.8,875
00:00:50,5.1,903
00:00:51,5.3,931
00:00:52,5.5,958
00:00:52,5.8,982
00:00:54,6.1,1005
00:00:55,6.3,1027
00:00:56,6.6,1046
00:00:57,6.39,1063
00:00:58,7.1,1080
00:00:59,7.4,1097
00:00:59,7,1113
00:01:00,8.0,1131
00:01:01,8.2,1153
00:01:02,8.5,1181
00:01:04,8.8,1210
00:01:04,9,1243
00:01:06,9.4,1275
00:01:07,9.7,1369
00:01:08,10.0,1343
00:01:09,10.3,1378
00:01:10,10.7,1413
00:01:11,11.0,1453
00:01:11,11.4,1489
00:01:12,11.7,1528
00:01:13,12.1,1566
00:01:14,12.4,1804
00:01:15,12.8,1644
00:01:16,13.2,1684
00:01:17,13.6,1726
00:01:19,13.3,1769
00:01:20,14.3,1810
00:01:21,14.7,1854
00:01:22,15.1,1898
00:01:23,15.5,1944
00:01:24,15.93,1989
00:01:25,16.3,2034
00:01:25,16.8,2083
00:01:26,17.2,2130
00:01:27,17.6,2178
00:01:31,19.0,2333
00:01:32,19.4,2386
00:01:32,19.9,2439
00:01:34,20.4,2493
00:01:35,20.9,2551
00:01:36,21.4,2608
00:01:37,21.9,2666
00:01:38,22.4,2723
00:01:38,22.8,2781
00:01:39,23.3,2838
00:01:40,23.9,2897
00:01:41,24.4,2961
00:01:42,24.9,3023
00:01:43,25.5,3086
00:01:45,26.0,3149
00:01:46,26.6,3215
00:01:47,27.1,3283
00:01:48,27.7,3350
00:01:49,28.3,3419
00:01:50,28.9,3486
00:01:51,29.5,3558
00:01:51,30.1,3626
00:01:52,30.7,3697
00:01:53,31.3,3770
00:01:54,32.0,3849
00:01:55,32.6,3925
00:01:56,33.2,4003
00:01:57,33.9,4082
00:01:58,34.6,4160
00:02:00,35.3,4240
00:02:01,36.0,4322
00:02:02,36.7,4406
00:02:03,37.4,4488
00:02:04,38.1,4574
00:02:04,38.8,4654
00:02:06,39.5,4742
00:02:07,40.3,4836
00:02:08,41.1,4927
00:02:08,41.93,5013
00:02:09,42.6,5101
00:02:10,43.4,5194
00:02:11,44.2,5287
00:02:12,45.0,5382
00:02:14,45.9,5476
00:02:15,46.7,5576
00:02:15,47.6,5676
00:02:18,49.4,5883
00:02:19,50.3,5989
00:02:20,51.1,6095
00:02:21,52.1,6203
00:02:21,53.6,6311
00:02:22,53.9,6419
00:02:23,54.9,6539
00:02:24,55.8,6654
00:02:25,56.8,6768
00:02:28,58.7,6999
00:02:29,59.8,7110
00:02:30,60.8,7218
00:02:31,61.8,7329
00:02:32,62.9,7435
00:02:33,63.9,7542
00:02:34,65.0,7654
00:02:35,66.0,7713
00:02:36,67.1,7713
00:02:36,68.1,7711
00:02:37,69.2,7715
00:02:38,70.2,7716
00:02:39,71.3,7729
00:02:40,72.3,7733
00:02:41,73.3,7747
00:02:43,74.4,7760
00:02:44,75.4,7764
00:02:45,76.4,7788
00:02:47,78.4,7827
00:02:48,79.3,7832
00:02:49,80.3,7840
00:02:49,81.2,7850
00:02:50,82.2,7862
00:02:51,83.2,7873
00:02:52,84.1,7886
00:02:53,85.1,7898
00:02:54,86.6,7910
00:02:55,87.0,7922
00:02:57,87.9,7934
00:02:58,88.8,7947
00:02:59,89.7,7960
00:03:00,90.7,7974
