time,speedofsound,altitude
00:00:00,340.2626485525556,0.0
00:00:01,340.2626485525556,0.0
00:00:03,340.2626485525556,0.0
00:00:06,340.2626485525556,0.0
00:00:08,340.2626485525556,0.0
00:00:08,340.2626485525556,0.0
00:00:10,339.49422675503627,0.2
00:00:12,339.49422675503627,0.2
00:00:03,340.2626485525556,00
00:00:06,340.2626485525556,0.0
00:00:07,340.2626485525556,0.0
00:00:08,340.2626485525556,0.0
00:00:10,339.878654816686,0.1
00:00:11,339.878654816686,0.1
00:00:12,339.49422675503627,0.2
00:00:13,339.49422675503627,0.2
00:00:14,339.1093628904988,0.3
00:00:15,339.1093628904988,0.3
00:00:16,339.1093628904988,0.3
00:00:17,338.7240617375742,0.4
00:00:19,337.9521415822069,0.6
00:00:20,337.5655195662021,0.7
00:00:21,337.5655195662021,0.7
00:00:23,337.1784542345492,0.8
00:00:23,336.7909440587736,0.9
00:00:25,336.4029875015975,1.0
00:00:26,336.01458301686847,1.1
00:00:28,335.9251864627003,1.123
00:00:32,335.23642403533654,1.3
00:00:33,332.49852631252367,2.0
00:00:34,331.7121191635904,2.2
00:00:35,331.31821561755396,2.3
00:00:36,330.5290002405235,2.5
00:00:38,330.13368504289286,2.6
00:00:39,329.3416311370307,2.8
00:00:40,328.54766777440375,3.0
00:00:41,327.75178107830317,3.2
00:00:42,327.3531120976246,3.3
00:00:43,326.55431401223285,3.5
00:00:44,325.75355715632634,3.7
00:00:45,324.9508270492629,3.9
00:00:45,324.14610903109724,4.1
00:00:46,324.5487174524034,4
00:00:47,322.12551901393965,4.6
00:00:48,321.3137251970416,4.8
00:00:50,320.0921742248629,5.1
00:00:51,319.2752104376411,5.3
00:00:52,318.4561508277081,5.5
00:00:52,317.2235962219708,5.8
00:00:54,315.98623387736365,6.1
00:00:55,315.1586267262884,6.3
00:00:56,313.9131249247154,6.6
00:00:57,314.7854936301862,6.39
00:00:58,311.8262336622754,7.1
00:00:59,310.5673678930225,7.4
00:00:59,312.2447277377153,7
00:01:00,308.0342026463944,8.0
00:01:01,307.1851721681891,8.2
00:01:02,305.90720815306065,8.5
00:01:04,304.6238828457152,8.8
00:01:04,303.76532060128255,9
00:01:06,302.04087471731367,9.4
00:01:07,300.74105140469266,9.7
00:01:08,299.4355857275484,10.0
00:01:09,298.1244035633447,10.3
00:01:10,296.36713717954626,10.7
00:01:11,295.04231899847855,11.0
00:01:11,295.04231899847855,11.4
00:01:12,295.04231899847855,11.7
00:01:13,295.04231899847855,12.1
00:01:14,295.04231899847855,12.4
00:01:15,295.04231899847855,12.8
00:01:16,295.04231899847855,13.2
00:01:17,295.04231899847855,13.6
00:01:19,295.04231899847855,13.3
00:01:20,295.04231899847855,14.3
00:01:21,295.04231899847855,14.7
00:01:22,295.04231899847855,15.1
00:01:23,295.04231899847855,15.5
00:01:24,295.04231899847855,15.93
00:01:25,295.04231899847855,16.3
00:01:25,295.04231899847855,16.8
